//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR22_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:18:55
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR22_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	11	 34.955	5.365	233.30	 0.02	 22.200	22.200	  1.20	23.60																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	10	 34.954	5.395	234.60	 0.01	 22.300	22.300	  1.29	24.40																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 9	 34.954	5.409	235.20	 0.02	 22.400	22.400	  1.35	24.40																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 8	 34.954	5.353	232.70	 0.01	 22.300	22.300	  1.36	24.40																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 7	 34.954	5.352	232.70	 0.01	 22.500	22.500	  1.38	24.30																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 6	 34.955	5.340	232.10	 0.03	 22.700	22.700	  1.40	24.20																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 5	 34.956	5.369	233.40	 0.03	 22.700	22.600	  1.41	24.30																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 4	 34.955	5.324	231.40	 0.02	 22.600	22.500	  1.41	24.20																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 3	 34.955	5.382	233.90	 0.02	 22.700	22.600	  1.40	24.20																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 2	 34.955	5.331	231.70	 0.02	 22.500	22.500	  1.41	24.30																										
PIRATA Fr22	st001c01	B	2012-03-22T16:53:00z	 -19.000	+10.500		2000.0	 1	 34.955	5.327	231.50	 0.02	 22.500	22.500	  1.42	24.20																										
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		   2.0	11	 36.105	4.590	200.30	 0.01	  0.200	0.200	  0.09	 1.30	0.0125	0.0162	0.0070	0.0108	0.0086	0.0017	0.0000	0.0017	0.0375	0.0103	0.0007	0.0000	0.1433		0.0103	0.0191		0.0328			0.1158	0.1434		0.0016		
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		   9.6	10	 36.091	4.592	200.40	 0.04	  0.200	0.100	  0.08	 1.30																										
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		  20.0	 9	 36.097	4.550	198.50	 0.02	  0.100	0.100	  0.07	 1.30	0.0064	0.0097	0.0071	0.0052	0.0056	0.0006		0.0017	0.0214	0.0115			0.1085		0.0033	0.0057		0.0189			0.0625	0.0906		0.0011		
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		  40.1	 8	 36.317	4.451	194.10	 0.02	  0.200	0.200	  0.08	 1.50	0.0503	0.0532	0.0129	0.0386	0.0217	0.0057	0.0042	0.0034	0.1229	0.0143	0.0047		0.2117		0.0826	0.0923		0.0851			0.3355	0.3571		0.0073		
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		  60.1	 7	 36.571	4.272	186.10	 0.21	  2.400	2.200	  0.27	 1.80	0.0773	0.0700	0.0087	0.0922	0.0285	0.0114	0.0129	0.0039	0.1157	0.0103	0.0073		0.0867		0.2210	0.1321		0.0776			0.2343	0.3881		0.0084		
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		  79.9	 6	 35.759	3.750	163.20	 0.07	 11.400	11.400	  0.70	 4.40	0.0306	0.0197	0.0024	0.0418	0.0092	0.0015	0.0012	0.0012	0.0460	0.0038	0.0006		0.0112		0.0706	0.0189		0.0207			0.0432	0.1107		0.0024		
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		  99.7	 5	 35.624	3.545	154.30	 0.03	 13.700	13.700	  0.83	 5.20	0.0233	0.0127	0.0012	0.0291	0.0060	0.0010	0.0008	0.0007	0.0363	0.0026			0.0059		0.0464	0.0073		0.0121			0.0236	0.0770		0.0016		
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		 500.3	 4	 34.591	3.168	137.80	 0.02	 32.400	32.400	  1.91	19.60																										
PIRATA Fr22	st002c01	B	2012-03-25T18:00:00z	 -23.000	 +0.000		 999.9	 3	 34.629	3.644	158.50	 0.02	 33.000	33.000	  2.08	30.30																										
