//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/EGEE2_CHIMIE_odv.txt
//Data treated : 2020-09-24T16:18:20
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/EGEE2_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		   0.0	11	 35.638	4.740	206.80	 0.03		0.053	  0.05	 1.08																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		   9.0	10	 35.645	4.760	207.60	 0.03		0.052	  0.05	 1.04																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		  20.0	 9	 35.631	4.788	208.90	 0.03		0.029	  0.05	 1.04																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		  40.0	 8	 35.733	4.305	187.60	 0.17		4.533	  0.39	 2.75																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		  59.0	 7	 35.973	3.552	154.70	 0.15		9.747	  0.75	 3.83																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		  80.0	 6	 35.702	3.551	154.60	 0.07		14.013	  0.98	 5.37																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		 100.0	 5		3.286	143.10			14.013	  0.98	 5.37																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		 130.0	 4	 35.499	3.359	146.20	 0.04		16.817	  1.15	 6.55																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		 159.6	 3	 35.483	3.086	134.30	 0.05		17.258	  1.18	 6.61																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		 298.9	 2	 35.053	2.195	 95.50	 0.04		28.854	  1.79	12.14																										
EGEE 2	st001c01	B	2005-09-05T18:00:00z	  -0.048	 +0.025		1001.0	 1	 34.667	3.680	160.00	 0.03		32.440	  2.14	30.18																										
