//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/EGEE6_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:58:11
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/EGEE6_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		   1.0	11	 31.808	4.597	201.20	 0.00		0.117	  0.00	 1.85																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		   9.0	10	 32.084	4.619	202.20	 0.00		0.127	  0.00	 1.87																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		  19.0	 9	 34.762	4.505	196.80	 0.00		0.117	  0.04	 1.19																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		  39.0	 8	 35.154	4.433	193.50	 0.00		0.127	  0.05	 0.97																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		  60.0	 7	 35.995	3.106	135.30	 0.58		6.768	  0.67	 3.03																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		  80.0	 6	 35.871	2.426	105.60	 0.03		12.711	  1.00	 5.05																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		  80.0	 5	 35.873	2.716	118.30	 0.03		12.741	  0.99	 4.98																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		  97.0	 4	 35.773	2.626	114.30	 0.01		14.183	  1.10	 5.97																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		 599.0	 3	 34.664	2.160	 94.00	 0.00		34.075	  2.25	21.20																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		 702.0	 2	 34.601	2.426	105.60	 0.00		34.378	  2.29	25.29																										
EGEE 6	st001c01	B	2007-09-03T18:00:00z	  +6.006	 +3.495		 702.0	 1	 34.601	2.344	102.00	 0.00		34.817	  2.33	25.34																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		   1.9	11	 32.176	4.569	199.90	 0.00		0.151	  0.02	 2.00																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		   9.6	10	 32.870	4.591	200.80	 0.00		0.087	  0.02	 2.53																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		  20.5	 9	 34.381	4.425	193.30	 0.00		0.114	  0.05	 1.52																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		  40.1	 8	 35.129	4.505	196.60	 0.00		0.087	  0.08	 0.82																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		  60.4	 7	 36.020	3.218	140.10	 0.50		8.328	  0.76	 3.58																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		  78.1	 6	 35.951	2.926	127.40	 0.34		10.102	  0.89	 4.11																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		  98.9	 5	 35.794	2.558	111.40	 0.06		13.758	  1.10	 5.19																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		 299.9	 4	 35.024	1.296	 56.40	 0.00		31.266	  1.94	14.28																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		 598.0	 3	 34.649	2.120	 92.20	 0.00		33.759	  2.25	22.25																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		 598.0	 2	 34.648	2.030	 88.30	 0.00		34.786	  2.25	22.24																										
EGEE 6	st002c01	B	2007-09-03T23:00:00z	  +6.004	 +2.998		1002.0	 1	 34.631	3.206	139.40	 0.00		32.292	  2.16	31.02																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		   2.0	11	 35.117	4.569	199.40	 0.00		0.074	  0.12	 0.42																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		   9.0	10	 35.118	4.579	199.90	 0.00		0.029	  0.12	 0.46																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		  19.0	 9	 35.116	4.538	198.10	 0.00		0.000	  0.12	 0.49																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		  40.0	 8	 35.150	4.947	215.90	 0.00		0.000	  0.11	 0.53																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		  61.0	 7	 35.499	4.273	186.40	 0.04		0.474	  0.18	 1.11																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		  74.0	 6	 35.962	3.070	133.60	 0.17		10.235	  0.87	 4.10																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		  98.0	 5	 35.838	2.950	128.40	 0.05		13.900	  0.98	 5.01																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		 299.0	 4	 35.032	1.323	 57.50	 0.00		32.863	  1.94	14.23																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		 299.0	 3	 35.031	1.290	 56.10	 0.00		32.296	  1.96	14.44																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		 597.0	 2	 34.618	2.327	101.20	 0.00		34.983	  2.21	22.19																										
EGEE 6	st003c01	B	2007-09-04T04:00:00z	  +6.007	 +2.500		1009.7	 1	 34.655	3.353	145.70	 0.00		33.303	  2.17	31.13																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		   1.7	11	 35.180	4.529	197.70	 0.01		0.173	  0.03	 0.84																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		   9.8	10	 35.178	4.525	197.50	 0.02		0.199	  0.02	 0.81																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		  19.4	 9	 35.178	4.593	200.50	 0.02		0.116	  0.02	 0.78																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		  39.5	 8	 35.185	4.515	197.00	 0.01		0.366	  0.02	 0.77																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		  58.6	 7	 35.440	4.088	178.30	 0.14		5.891	  0.45	 2.32																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		  78.1	 6	 35.836	3.002	130.70	 0.09		12.571	  0.92	 4.76																										
EGEE 6	st004c01	B	2007-09-04T09:30:00z	  +6.003	 +2.000		 102.0	 5	 35.785	3.291	143.30	 0.09		11.525	  0.94	 4.89																										
