//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR32/data-final/CHIMIE/PIRATA-FR32_CHIMIE_odv.txt
//Data treated : 2025-01-14T11:24:17
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR32/data-final/CHIMIE/PIRATA-FR32_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1974.0	21	34.9563	5.420	235.82	 0.01	 21.790	21.775	  1.48	23.56																											3.5323	7.7061	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	20	34.9548	5.419	235.75	 0.01	 21.970	21.960	  1.47	23.55																											3.5322	7.7099	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1974.0	19	34.9554	5.420	235.78	 0.01	 21.717	21.705	  1.48	23.54																											3.5318	7.7100	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	18	34.9535	5.482	238.48	 0.01	 21.832	21.820	  1.47	23.57																											3.5326	7.7110	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	17	34.9553	5.419	235.72	 0.02	 22.048	22.032	  1.47	23.55																											3.5330	7.7100	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	16	34.9536	5.426	236.02	 0.01	 21.912	21.902	  1.46	23.49																											3.5325	7.7081	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	15	34.9549	5.420	235.78	 0.01	 21.801	21.788	  1.45	23.48																											3.5339	7.7088	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	14	34.9550	5.422	235.83	 0.01	 21.536	21.524	  1.46	23.60																											3.5336	7.7096	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	13	34.9548	5.423	235.87	 0.01	 21.661	21.650	  1.47	23.64																											3.5334	7.7163	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	12	34.9556	5.417	235.58	 0.02	 21.731	21.715	  1.50	23.65																											3.5325	7.7168	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	11	34.9553	5.419	235.67	 0.01	 21.813	21.803	  1.47	23.64																											3.5327	7.7156	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1973.0	10	34.9553	5.424	235.87	 0.01	 21.964	21.953	  1.49	23.64																											3.5334	7.7118	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 9	34.9548	5.419	235.63	 0.01	 21.862	21.850	  1.47	23.54																											3.5344	7.7176	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 8	34.9549	5.498	239.08	 0.01	 21.768	21.760	  1.47	23.48																											3.5354	7.7103	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 7	34.9556	5.517	239.89	-0.00	 21.794	21.796	  1.46	23.60																											3.5357	7.7152	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 6	34.9552	5.623	244.46	-0.00	 22.062	22.065	  1.46	23.56																											3.5367	7.7132	25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 5	34.9547	5.580	242.56	-0.00	 21.801	21.806	  1.49	23.59																											3.5364		25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 4	34.9548	5.537	240.68	 0.00	 21.814	21.811	  1.47	23.58																											3.5373		25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 3	34.9539	5.557	241.54	 0.00	 21.693	21.689	  1.46	23.50																											3.5365		25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 2	34.9554	5.618	244.19	 0.01	 21.766	21.758	  1.46	23.41																											3.5368		25.0000		
PIRATA-FR32	st001c01	B	2022-03-04T10:33:46z	 -20.111	+10.194		1972.0	 1	34.9538	5.568	242.03	 0.00	 21.703	21.698	  1.45	23.53																											3.5362		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		   3.0	19									0.0090	0.0112	0.0110	0.0104	0.0107			0.0025	0.0287	0.0019	0.0065	0.0018		0.1327		0.0084	0.0119	0.0203	0.0288			0.0854	0.1265	0.2119	0.0025		25.6962		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		   3.0	18	35.8738	4.658	203.19	 0.01	 -0.002	-0.009	  0.03	 1.04																											25.6992	8.0573	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		   8.0	17				 0.01	  0.044	0.038	  0.03	 1.04	0.0094	0.0127	0.0132	0.0111	0.0114			0.0028	0.0314	0.0036	0.0072	0.0021		0.1462		0.0064	0.0100	0.0164	0.0313			0.0920	0.1454	0.2374	0.0032		25.7019		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  13.0	16	35.8756	4.659	203.22	 0.00	 -0.058	-0.059	  0.03	 1.02	0.0089	0.0115	0.0115	0.0103	0.0108			0.0026	0.0277	0.0016	0.0067	0.0019		0.1377		0.0071	0.0176	0.0247	0.0291			0.0884	0.1287	0.2171	0.0028		25.7066	8.0570	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  23.0	15	35.8736	4.650	202.82	 0.01	 -0.082	-0.088	  0.03	 1.07	0.0107	0.0137	0.0127	0.0123	0.0119			0.0027	0.0354	0.0018	0.0074	0.0023		0.1473		0.0080	0.0215	0.0295	0.0315			0.0989	0.1511	0.2500	0.0030		25.7004		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  32.0	14				 0.21	  5.941	5.726	  0.40	 3.04	0.0588	0.0578	0.0366	0.0814	0.0400	0.0199	0.0255	0.0072	0.1490	0.0090	0.0164	0.0095	0.0039	0.0943		0.0347	0.1851	0.2198		0.0477		0.1069	0.5557	0.6626	0.0063		20.0475		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  42.0	13	35.8064	2.792	121.62	 0.44	 12.358	11.920	  0.77	 3.83	0.0367	0.0313	0.0155	0.0521	0.0309	0.0126	0.0254	0.0051	0.0647	0.0081	0.0081	0.0058		0.0443		0.0440	0.1582	0.2022	0.0326			0.0693	0.3367	0.4060	0.0043		18.7091	7.7829	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  52.0	12				 0.49	 17.927	17.432	  1.10	 4.61	0.0275	0.0225	0.0115	0.0406	0.0286	0.0100	0.0222	0.0041	0.0398	0.0074	0.0063	0.0033		0.0303		0.0388	0.1153	0.1541	0.0270			0.0478	0.2349	0.2827	0.0046		17.3459		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  62.0	11	35.6883	1.942	 84.56	 0.21	 20.525	20.316	  1.30	 5.49	0.0220	0.0121	0.0099	0.0344	0.0256	0.0042	0.0059		0.0427	0.0024	0.0053	0.0018		0.0250		0.0763	0.0381	0.1144	0.0242			0.0504	0.1491	0.1995	0.0035		16.4756	7.6810	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  72.0	10				 0.15	 22.584	22.430	  1.46	 6.07	0.0135	0.0069	0.0088	0.0222	0.0165	0.0028	0.0035		0.0298	0.0016	0.0040	0.0013		0.0168		0.0577	0.0254	0.0831	0.0190			0.0378	0.0923	0.1301	0.0028		16.1761		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  82.0	 9	35.6379	1.558	 67.83	 0.14	 23.489	23.346	  1.50	 6.38	0.0140	0.0078	0.0082	0.0216	0.0157		0.0036		0.0294		0.0038	0.0025	0.0034	0.0162		0.0597	0.0235	0.0832	0.0196			0.0362	0.0891	0.1253	0.0031		15.9603		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		  92.0	 8				 0.08	 24.291	24.208	  1.57	 6.87	0.0175	0.0083	0.0078	0.0255	0.0184	0.0011	0.0024		0.0353		0.0042			0.0105		0.0559	0.0170	0.0729	0.0170			0.0314	0.0890	0.1204	0.0029		15.6405		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 102.0	 7									0.0147	0.0066	0.0068	0.0222	0.0130				0.0313		0.0035			0.0057		0.0454	0.0110	0.0564	0.0144			0.0232	0.0706	0.0938	0.0027		15.2413	7.6235	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 103.0	 6	35.5738	1.550	 67.47	 0.04	 24.296	24.258	  1.58	 7.16																											15.2395		25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 200.0	 5	35.2823	2.012	 87.55	 0.01	 25.425	25.412	  1.65	 9.18																											12.7954	7.6146	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 300.0	 4	35.1280	2.402	104.54	 0.01	 25.584	25.574	  1.67	10.35																											11.5649	7.6187	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 400.0	 3	35.1476	0.860	 37.40	 0.01	 34.938	34.928	  2.17	14.15																											10.5085	7.4770	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 497.0	 2	34.9958	0.991	 43.13	 0.01	 37.262	37.253	  2.32	17.12																											9.1715	7.4554	25.0000		
PIRATA-FR32	st002c01	B	2022-03-04T18:17:55z	 -20.050	 +8.999		 497.0	 1	34.9969	0.983	 42.77	 0.01	 37.206	37.200	  2.34	17.08																											9.1780	7.4586	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		   1.0	19																																			25.7193		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		   1.0	18	35.9027	4.650	202.83	 0.01	 -0.007	-0.021	  0.02	 1.07																											25.7154	8.0485	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		   5.0	17				 0.02	 -0.120	-0.137	  0.03	 1.09																											25.7257		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  13.0	16	35.9014	4.653	202.95	 0.00	 -0.052	-0.057	  0.02	 1.04																											25.7275	8.0413	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  23.0	15	35.9074	4.569	199.27	 0.01	  0.078	0.067	  0.04	 1.25																											25.7250		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  33.0	14				 0.09	  2.598	2.510	  0.23	 2.49																											21.7625		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  42.0	13																																			20.0825		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  42.0	12	35.9071	3.007	131.02	 0.32	  8.942	8.625	  0.59	 3.22																											20.0885	7.8240	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  52.0	11				 0.51	 17.352	16.840	  1.09	 4.33																											18.3972		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  62.0	10	35.7413	1.609	 70.05	 0.19	 21.631	21.438	  1.39	 5.37																											17.1293	7.6575	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  72.0	 9				 0.10	 22.731	22.630	  1.46	 6.06																											16.5687		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  81.0	 8	35.6684	1.523	 66.32	 0.06	 23.338	23.281	  1.51	 6.54																											16.1803		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  91.0	 7				 0.04	 23.498	23.453	  1.53	 6.71																											16.0195		25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		  99.0	 6	35.6372	1.572	 68.45	 0.04	 23.513	23.472	  1.53	 6.75																											15.8346	7.6348	25.0000		
