//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR31/data-final/CHIMIE/PIRATAFR31_CHIMIE_odv.txt
//Data treated : 2024-04-09T11:57:42
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR31/data-final/CHIMIE/PIRATAFR31_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	20	34.9700	5.290	230.01	 0.01	 22.526	22.518	  1.44	25.44																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	19	34.9660	5.283	229.73	 0.01	 22.527	22.518	  1.47	25.47																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2003.0	18	34.9670	4.690	203.91	 0.00	 22.544	22.540	  1.44	25.54																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2003.0	17	34.9700	5.290	230.00	 0.01	 22.554	22.547	  1.46	25.50																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2003.0	16	34.9690	5.288	229.90	 0.01	 22.563	22.554	  1.46	25.56																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	15	34.9690	5.290	229.98	 0.01	 22.452	22.445	  1.45	25.51																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	14	34.9700	5.294	230.17	 0.01	 22.409	22.398	  1.46	25.55																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	13	34.9680	5.291	230.03	 0.01	 22.363	22.352	  1.45	25.46																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	12	34.9670	5.289	229.93	 0.01	 22.335	22.330	  1.45	25.38																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	11	34.9670			 0.01	 22.432	22.427	  1.46	25.46																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	10	34.9690	5.298	230.32	 0.01	 22.260	22.255	  1.45	25.41																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	 9	34.9680	5.290	229.97	 0.00	 22.274	22.269	  1.46	25.42																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	 8	34.9690	5.295	230.18	 0.01	 22.281	22.275	  1.45	25.46																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	 7	34.9710	5.303	230.54	 0.01	 22.225	22.215	  1.46	25.42																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	 6	34.9680	5.318	231.15	 0.01	 22.202	22.194	  1.46	25.44																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2002.0	 5	34.9680	5.292	230.04	 0.01	 22.164	22.150	  1.46	25.40																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2001.0	 4	34.9690	5.293	230.08	 0.01	 22.243	22.235	  1.47	25.41																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2001.0	 3	34.9670	5.291	229.96	 0.01			  1.48	25.51																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2001.0	 2	34.9720	5.296	230.15	 0.01	 22.195	22.187	  1.48	25.53																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501		2001.0	 1	34.9720	5.294	230.09	 0.01	 22.145	22.137	  1.49	25.49																															
PIRATA-FR31	st01c01	B	2021-03-04T15:49:06z	 -20.125	+13.501																																										
PIRATA-FR31	st02c01	B	2021-03-05T20:34:53z	 -20.064	 +8.999		   3.0	19	35.7038	4.672	203.78	 0.01	 -0.004	-0.011	 -0.00	 1.00	0.0058	0.0082	0.0048	0.0064	0.0095				0.0266	0.0096			0.1275		0.0173	0.0122	0.0295		0.0179		0.0615	0.0965	0.1580								
