//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR20_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:27:19
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR20_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		   2.0	11	 35.503	4.691	204.70	 0.00		0.180	  0.06	 0.88																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		  10.0	10	 35.500	4.686	204.40	 0.00		0.170	  0.35	 0.89																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		  20.0	 9	 35.503	4.690	204.70	 0.00		0.030	  0.04	 0.85																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		  40.0	 8	 35.542	4.655	203.10	 0.05		0.500	  0.09	 0.94																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		  60.0	 7	 35.893	3.880	169.10	 0.52		6.490	  0.59	 2.39																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		  80.0	 6	 35.818	3.457	150.50	 0.10		11.640	  0.95	 3.61																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		 100.0	 5	 35.697	3.486	151.80	 0.04		13.240	  0.92	 4.49																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		 500.0	 4	 34.664	2.554	111.10	 0.00		33.340	  2.06	17.03																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		 995.0	 3	 34.622	3.552	154.40	 0.00		32.890	  2.17	30.35																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		2000.0	 2	 34.956	5.664	246.20	 0.00		20.330	  1.32	23.59																										
PIRATA Fr20	st001c01	B	2010-09-19T04:15:00z	  +0.000	 +3.350		2000.0	 1	 34.960	5.627	244.60	 0.00		20.240	  1.37	22.03																										
