//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR19_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:35:20
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR19_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		   9.0	11	 36.371	4.626	201.73	 0.01		0.000	  0.08	 1.20																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		  19.0	10	 36.370	4.635	202.14	 0.01		0.100	  0.08	 1.20																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		  50.0	 9	 36.559	4.451	193.88	 0.16		1.900	  0.21	 1.70																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		  99.0	 8	 35.718	3.792	165.04	 0.06		11.600	  0.63	 4.80																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		 200.0	 7	 35.404	2.554	111.16	 0.01		20.500	  0.97	 7.60																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		 300.0	 6	 35.005	2.139	 93.06	 0.01		27.900	  1.29	12.50																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		 400.0	 5	 34.813	2.447	106.44	 0.01		30.100	  1.43	15.50																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		 501.0	 4	 34.614	2.915	126.76	 0.01		31.900	  1.53	20.10																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		 600.0	 3	 34.540	3.238	140.83	 0.00		32.500	  1.59	23.20																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		 720.0	 2	 34.496	3.377	146.84	 0.01		33.400	  1.64	26.30																										
PIRATA Fr19	st001c01	B	2009-06-19T02:30:00z	 -22.989	 -0.007		1019.0	 1	 34.622	3.591	156.13	 0.01		32.100	  1.64	30.50																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		   2.0	11	 35.804	4.914	214.30	 0.01		0.100	  0.09	 1.40																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		  20.0	10	 35.809	4.878	212.70	 0.03		0.500	  0.11	 1.70																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		  40.0	 9	 35.952	4.391	191.30	 0.17		3.500	  0.33	 2.60																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		  50.0	 8	 36.032	4.113	179.10	 0.33		5.900	  0.33	 3.00																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		 200.0	 7	 35.763	3.753	163.40	 0.07		11.100	  0.60	 4.70																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		 290.0	 6	 35.173	2.010	 87.40	 0.01		25.300	  1.22	10.40																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		 397.0	 5	 34.756	2.445	106.40	 0.02		30.400	  1.52	16.50																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		 600.0	 4	 34.524	3.230	140.50	 0.01		32.700	  1.72	24.00																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		 801.0	 3	 34.516	3.391	147.40	 0.01		33.200	  1.72	29.10																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		 997.0	 2	 34.671	3.763	163.60	 0.01		30.600	  1.65	28.50																										
PIRATA Fr19	st002c01	B	2009-06-21T23:15:00z	 -13.000	 +0.000		2035.0	 1	 34.965	5.760	250.30	 0.01		18.900	  1.06	20.10																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		   2.0	11	 35.793	4.984	217.30	 0.05		0.300	  0.14	 1.50																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		  20.0	10	 35.954	4.587	199.90	 0.16		2.900	  0.31	 3.00																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		  50.0	 9	 35.947	3.916	170.50	 0.21		8.900	  0.68	 3.90																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 100.0	 8	 35.658	3.513	152.90	 0.05		13.100	  0.93	 5.30																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 200.0	 7	 35.538	2.695	117.30	 0.04		18.300	  1.19	 6.90																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 297.0	 6	 35.032	2.238	 97.40	 0.03		26.900	  1.69	12.20																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 400.0	 5	 34.781	2.258	 98.20	 0.03		31.600	  2.01	16.70																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 591.0	 4	 34.526	3.255	141.60	 0.03		32.800	  2.14	24.30																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 802.0	 3	 34.504	3.425	148.90	 0.04		33.600	  2.22	29.50																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		 999.0	 2	 34.667	3.766	163.70	 0.03		31.200	  2.09	29.80																										
PIRATA Fr19	st003c01	B	2009-06-23T02:30:00z	  -9.887	 +0.001		2008.0	 1	 34.961	5.713	248.30	 0.02		18.800	  1.25	22.50																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		   2.0	11	 35.364	5.078	221.40	 0.02		0.100	  0.11	 1.60																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		  20.0	10	 35.543	4.706	205.10	 0.12		2.200	  0.25	 2.40																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		  50.0	 9	 35.924	3.846	167.40	 0.25		9.400	  0.71	 4.00																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 100.0	 8	 35.705	3.627	157.90	 0.03		12.600	  0.86	 5.10																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 202.0	 7	 35.426	2.399	104.40	 0.01		21.100	  1.36	 8.10																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 300.0	 6	 34.990	2.269	 98.70	 0.02		27.700	  1.76	12.80																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 398.0	 5	 34.739	2.373	103.20	 0.02		32.100	  2.04	17.60																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 600.0	 4	 34.535	3.145	136.80	 0.02		33.600	  2.22	24.80																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 798.0	 3	 34.507	3.383	147.10	 0.02		33.800	  2.26	29.40																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		 999.0	 2	 34.651	3.767	163.80	 0.02		31.200	  2.12	30.40																										
PIRATA Fr19	st004c01	B	2009-06-24T11:00:00z	 -10.000	 +0.500		2004.0	 1	 34.963	5.685	247.10	 0.03		19.600	  1.30	22.10																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		   1.5	11	 35.925	4.816	210.00	 0.06		0.700	  0.00	 1.70																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		  21.0	10	 35.912	4.524	197.10	 0.09		3.000	  0.09	 2.40																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		  51.0	 9	 35.828	3.793	165.10	 0.16		10.200	  0.54	 3.90																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		 100.0	 8	 35.701	3.175	138.20	 0.06		14.700	  0.75	 5.20																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		 201.0	 7	 35.227	1.728	 75.20	 0.02		26.800	  1.44	10.30																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		 301.0	 6	 34.915	1.637	 71.20	 0.02		32.300	  1.77	14.50																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		 402.0	 5	 34.735	2.322	101.00	 0.03		32.500	  1.83	16.90																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		 603.0	 4	 34.518	3.195	138.90	 0.02		34.100	  2.00	25.20																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		 807.0	 3	 34.529	3.303	143.60	 0.02		34.400	  2.04	29.60																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		1008.0	 2	 34.627	3.606	156.80	 0.02		32.500	  1.98	30.40																										
PIRATA Fr19	st005c01	B	2009-06-26T23:00:00z	  -0.023	 +0.026		2021.0	 1	 34.965	5.679	246.80	 0.02		19.800	  1.05	21.30																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		   1.9	11	 34.340	4.682	204.50	 0.00		0.000	  0.00	 0.80																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		  10.2	10	 34.342	4.676	204.20	 0.00		0.000	  0.01	 0.80																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		  20.1	 9	 35.796	4.389	191.30	 0.07		3.000	  0.34	 2.10																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		  40.5	 8	 35.817	3.520	153.30	 0.26		11.400	  0.86	 4.30																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		  58.9	 7	 35.738	3.548	154.50	 0.11		12.600	  0.86	 4.60																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		  80.7	 6	 35.699	3.413	148.60	 0.08		13.600	  0.94	 5.10																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		  99.6	 5	 35.684	3.335	145.20	 0.05		14.200	  0.97	 5.20																										
PIRATA Fr19	st006c01	B	2009-07-04T14:40:00z	  -0.063	 +0.063		 498.2	 4	 34.640	2.564	111.60	 0.01		33.700	  2.24	20.20																										
