//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR24_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:01:55
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR24_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	11	 34.711	3.058	133.00																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	10	 34.712	3.052	132.80																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 9	 34.712	3.051	132.70																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 8	 34.712	3.055	132.90																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 7	 34.712	3.054	132.80																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 6	 34.712	3.056	132.90																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 5	 34.712	3.058	133.00																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 4	 34.712	3.080	133.90																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 3	 34.712	3.052	132.70																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 2	 34.712	3.055	132.80																															
PIRATA Fr24	st001c01	B	2014-04-12T08:48:00z	 -20.317	 +7.000		1000.0	 1	 34.712	3.053	132.80																															
PIRATA Fr24	st002c01	B	2014-04-14T20:50:00z	 -23.000	 +0.000		   0.0	11	 35.645	4.574	199.70						0.0037	0.0054	0.0034	0.0035	0.0041	0.0006		0.0013	0.0155	0.0059			0.0968		0.0037	0.0039	0.0076	0.0162			0.0520	0.0702	0.1222	0.0013		
PIRATA Fr24	st002c01	B	2014-04-14T20:50:00z	 -23.000	 +0.000		  10.0	10	 35.907	4.642	202.60																															
PIRATA Fr24	st002c01	B	2014-04-14T20:50:00z	 -23.000	 +0.000		  20.0	 9	 35.971	4.689	204.70						0.0048	0.0084	0.0054	0.0061	0.0064	0.0008		0.0011	0.0220	0.0114			0.1611		0.0038	0.0058	0.0096	0.0371			0.0897	0.1530	0.2428	0.0017		
