//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR27/data-processing/CHIMIE/PIRATAFR27_CHIMIE_odv.txt
//Data treated : 2024-02-19T13:22:35
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR27/data-processing/CHIMIE/PIRATAFR27_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	11	34.9610	5.465	237.62	 0.00	 20.300	20.300	  1.40	22.80																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	10	34.9610	5.468	237.73	 0.00	 20.600	20.600	  1.40	22.60																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 9	34.9610	5.454	237.11	 0.00	 20.800	20.800	  1.42	23.10																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 8	35.7430	4.358	189.89	 0.01	  4.700	4.690	  0.36	 2.18																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 7	34.9610	5.446	236.77	 0.00	 20.500	20.500	  1.46	22.70																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 6	34.9610	5.453	237.04	 0.00	 20.400	20.400	  1.48	22.90																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472			 5																																							
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 4	34.9600	5.459	237.32	 0.00	 20.400	20.400	  1.50	22.40																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 3	34.9600	5.437	236.36	 0.00	 20.300	20.300	  1.50	22.40																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2017.0	 2	34.9600	5.448	236.79	 0.00	 20.300	20.300	  1.50	22.80																															
PIRATA Fr27	st001c01	B	2017-02-27T19:57:00z	 -23.000	+11.472		2016.0	 1	34.9590	5.443	236.60	 0.00	 20.800	20.800	  1.49	23.00																															
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		   2.8	11	34.7880	4.532	198.04	 0.00	  0.000	0.000	  0.06	 0.81	0.0016	0.0025		0.0036	0.0028				0.0163	0.0069			0.0833						0.0136		0.0341	0.0639									
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		  10.6	10	34.9200	4.565	199.45																																				
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		  20.9	 9	35.5900	4.635	202.39	 0.00	  0.050	0.050	  0.10	 0.90	0.0040	0.0037	0.0058	0.0047	0.0032				0.0172	0.0038			0.0947		0.0039	0.0060		0.0132			0.0434	0.0613									
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		  41.0	 8	36.2610	4.114	179.45	 0.14	  1.530	1.390	  0.20	 1.65	0.0236	0.0279	0.0066	0.0304	0.0113	0.0037	0.0058	0.0040	0.0767	0.0085	0.0061		0.1042		0.0832			0.0449			0.1147	0.2506									
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		  61.0	 7	35.7510	2.584	112.54	 0.09	 14.800	14.700	  1.00	 4.03	0.0463	0.0402	0.0068	0.0735	0.0248	0.0079	0.0119	0.0043	0.0905	0.0086	0.0056		0.0342		0.0593	0.1234		0.0326			0.0656	0.3284									
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		  81.9	 6	35.6170	2.551	111.07	 0.03	 18.000	17.900	  1.28	 5.83	0.0219	0.0142		0.0325	0.0124	0.0014	0.0016	0.0008	0.0359	0.0032			0.0095		0.0714	0.0269		0.0210			0.0387	0.0937									
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		 101.0	 5	35.5530	2.594	112.93	 0.00	 19.600	19.600	  1.43	 6.99	0.0099	0.0069		0.0134	0.0072	0.0008			0.0187	0.0017			0.0010		0.0160	0.0076		0.0054			0.0080	0.0361									
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		 505.0	 4	34.6560	2.709	117.91																																				
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		1009.0	 3	34.6650	3.646	158.61																																				
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		2020.8	 2	34.9610	5.705	248.08																																				
PIRATA Fr27	st002c01	B	2017-03-02T00:02:00z	 -23.000	 +2.000		2020.8	 1	34.9610	5.693	247.59																																				
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		   2.8	11	34.5840	4.510	197.08	 0.00	  0.000	0.000	  0.03	 0.78	0.0037	0.0090		0.0068	0.0064				0.0289	0.0052			0.0998		0.0043	0.0080			0.0231		0.0575	0.1346									
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		  10.0	10	35.5470	4.573	199.68																																				
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		  21.0	 9	35.8970	4.592	200.45	 0.01	  0.000	0.000	  0.01	 0.75	0.0056	0.0104	0.0058	0.0076	0.0067				0.0245	0.0046			0.0802		0.0073	0.0088		0.0172			0.0585	0.0773									
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		  41.0	 8	36.1060	3.890	169.61	 0.01	  0.000	0.000	  0.03	 1.24	0.0802	0.0809	0.0135	0.0998	0.0367	0.0100	0.0141	0.0066	0.1871	0.0147	0.0093		0.0671		0.0365	0.1391		0.0498			0.1134	0.5567									
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		  61.0	 7	35.7900	2.552	111.15	 0.17	 14.700	14.500	  0.98	 4.38	0.0830	0.0907	0.0153	0.1085	0.0397	0.0090	0.0146	0.0067	0.2069	0.0155	0.0101		0.0748		0.0419	0.1359		0.0548			0.1303	0.5984									
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		  81.0	 6	35.6900	2.347	102.20	 0.03	 18.200	18.200	  1.31	 6.30	0.0275	0.0182		0.0427	0.0164	0.0019	0.0023		0.0373	0.0037			0.0118		0.0805	0.0383		0.0253			0.0489	0.1232									
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		 101.0	 5	35.5220	2.404	104.67	 0.02	 18.600	18.600	  1.37	 6.81	0.0035	0.0017		0.0046	0.0024				0.0104	0.0013					0.0042	0.0048		0.0015			0.0019	0.0184									
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		 504.0	 4	34.6570	3.050	132.74																																				
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		 504.0	 3	35.8380	2.682	116.82																																				
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		1009.0	 2	34.6510	3.638	158.25																																				
PIRATA Fr27	st003c01	B	2017-03-02T08:54:00z	 -23.000	 +1.000		2022.0	 1	34.9610	5.707	248.12																																				
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		   2.9	11	35.8300	4.528	197.65	 0.03	  0.000	0.000	  0.00	 0.88																															
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		  10.0	10	35.8380	4.524	197.46						0.0016	0.0025		0.0036	0.0028				0.0164	0.0070			0.0839					0.0137			0.0344	0.0643									
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		  20.0	 9	35.9470	4.529	197.65	 0.03	  0.000	0.000	  0.00	 0.73	0.0067	0.0121	0.0068	0.0087	0.0078			0.0014	0.0264	0.0057			0.0704		0.0049	0.0101		0.0187			0.0630	0.1024									
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		  41.0	 8	36.3350	4.445	193.86	 0.02	  0.000	0.000	  0.00	 1.09	0.0202	0.0238	0.0075	0.0214	0.0111	0.0021	0.0028	0.0028	0.0630	0.0070	0.0015		0.1001		0.0283	0.0488		0.0414			0.1468	0.2017									
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		  60.0	 7	36.6880	4.381	190.89	 0.16	  1.660	1.500	  0.18	 1.48	0.0679	0.0651	0.0091	0.0739	0.0211	0.0063	0.0108	0.0036	0.1535	0.0100	0.0068		0.0809		0.1482	0.1687		0.0771			0.2237	0.4165									
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		  80.0	 6	36.3450	4.134	180.04	 0.12	  4.990	4.870	  0.39	 2.27	0.0505	0.0487	0.0066	0.0742	0.0168	0.0035	0.0037	0.0016	0.1058	0.0071	0.0093		0.0322		0.1156	0.0908		0.0498			0.1137	0.3035									
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		  99.0	 5	35.9480	3.570	155.45	 0.08	 10.600	10.500	  0.77	 4.01	0.0232	0.0169	0.0034	0.0390	0.0117	0.0014			0.0427	0.0036			0.0095		0.0558	0.0258		0.0201			0.0400	0.1102									
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		 505.0	 4	34.6130	3.171	137.95																																				
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		1009.0	 3	34.6230	3.579	155.64																																				
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		1009.0	 2	34.6230	3.584	155.87																																				
PIRATA Fr27	st004c01	B	2017-03-03T07:14:00z	 -23.000	 +0.000		2018.0	 1	34.9640	5.765	250.62																																				
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		   1.8	11	36.0040	4.559	199.00	 0.00	  0.070	0.060	  0.00	 0.87																															
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		  10.0	10	36.0370	4.566	199.32																																				
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		  20.0	 9	36.1390	4.576	199.70	 0.03	  0.140	0.110	  0.01	 1.01																															
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		  41.0	 8	36.3220	4.591	200.30	 0.00	  0.000	0.000	  0.06	 1.01																															
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		  60.0	 7	36.2980	3.997	174.11																																				
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		  81.0	 6	35.9290	3.899	169.77	 0.07	  9.050	8.980	  0.68	 3.72																															
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		 102.0	 5	35.7040	3.679	160.17	 0.04	 12.100	12.100	  0.91	 4.70																															
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		 102.0	 4	35.6980	3.672	159.86																																				
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		 505.0	 3	34.6020	3.095	134.67																																				
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		1009.0	 2	34.6290	3.601	156.59																																				
PIRATA Fr27	st005c01	B	2017-03-03T14:30:00z	 -23.000	 -0.667		2020.0	 1	34.9667	5.770	250.81																																				
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		   1.0	11	36.5480	4.630	201.89	 0.00	  0.050	0.050	  0.12	 0.59	0.0028	0.0058	0.0035	0.0043	0.0051				0.0119	0.0035			0.0543		0.0021	0.0052		0.0080			0.0312	0.0341									
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		  10.0	10	36.5480	4.621	201.51																																				
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		  20.0	 9	36.5480	4.630	201.93	 0.01	  0.130	0.110	  0.10	 0.58	0.0026	0.0055	0.0035	0.0042	0.0050				0.0117	0.0033			0.0491					0.0075			0.0278	0.0316									
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		  40.0	 8	36.5490	4.657	203.08	 0.00	  0.010	0.010	  0.13	 0.65	0.0026	0.0029	0.0035	0.0046	0.0053			0.0009	0.0117	0.0034			0.0540					0.0081			0.0304	0.0325									
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		  61.0	 7	36.4790	5.065	220.70	 0.01	  0.050	0.040	  0.17	 1.08	0.0142	0.0199	0.0069	0.0197	0.0072				0.0573	0.0050			0.0755		0.0082	0.0324		0.0199			0.0869	0.1213									
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		  81.0	 6	36.3180	4.338	188.94																																				
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		  81.0	 5	36.3270	4.377	190.63	 0.12	  3.080	2.960	  0.42	 1.90	0.0425	0.0494	0.0134	0.0610	0.0143	0.0170		0.0068	0.1309	0.0076			0.0765		0.0218	0.1319		0.0359			0.1129	0.2808									
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		 100.0	 4	35.8770	2.831	123.24	 0.29	 15.200	14.900	  1.15	 4.26	0.0352	0.0298	0.0042	0.0607	0.0155	0.0086	0.0032	0.0035	0.0626	0.0045			0.0234		0.0829	0.0536		0.0296			0.0679	0.1643									
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		 504.0	 3	34.7000	1.814	 78.90																																				
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		1008.0	 2	34.5940	3.626	157.68																																				
PIRATA Fr27	st006c01	B	2017-03-08T02:04:00z	 -10.000	-10.000		2021.0	 1	34.9300	5.437	236.35																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		   2.8	11	36.3880	4.591	200.24																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		  11.8	10	36.3880	4.590	200.21																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		  21.8	 9	36.3880	4.593	200.34																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		  41.4	 8	36.3820	4.611	201.13																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		  60.8	 7	36.5500	5.019	218.76																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		  60.7	 6	36.5500	5.012	218.47																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		  81.5	 5	36.3370	4.446	193.68																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		 101.5	 4	35.9580	3.052	132.86																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		 504.6	 3	34.6880	1.817	 79.06																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		1009.0	 2	34.5930	3.595	156.32																																				
PIRATA Fr27	st007c01	B	2017-03-08T23:08:00z	 -10.000	 -9.500		2022.0	 1	34.9430	5.467	237.65																																				
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		   2.1	11	36.4170	4.596	200.47	 0.00	  0.000	0.000	  0.18	 0.69																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		  10.7	10	36.4160	4.599	200.60																																				
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		  19.9	 9	36.4150	4.600	200.64	 0.01	  0.000	0.000	  0.21	 0.75																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		  40.8	 8	36.4150	4.602	200.73	 0.01	  0.000	0.000	  0.16	 0.80																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		  40.4	 7	36.4160	4.601	200.70	 0.00	  0.000	0.000	  0.16	 0.77																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		  60.8	 6	36.4130	4.635	202.18	 0.00	  0.000	0.000	  0.18	 0.81																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		  80.8	 5	36.5760	4.990	217.44	 0.00	  0.070	0.060	  0.19	 1.07																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		 100.8	 4	36.1700	3.700	161.14	 0.33	  7.870	7.540	  0.73	 2.93																															
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		 503.7	 3	34.6560	1.929	 83.91																																				
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		1008.1	 2	34.6070	3.585	155.93																																				
PIRATA Fr27	st008c01	B	2017-03-09T04:00:00z	 -10.000	 -9.000		2020.7	 1	34.9370	5.458	237.28																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		   2.6	11	36.4080	4.574	199.61																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		  10.8	10	36.4070	4.574	199.54																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		  19.9	 9	36.4070	4.577	199.70																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		  19.9	 8	36.4070	4.573	199.50																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		  39.5	 7	36.4110	4.579	199.76																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		  59.1	 6	36.4420	4.872	212.46																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		  81.0	 5	36.5750	4.974	216.73																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		 102.8	 4	36.1250	3.497	152.29																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		 504.9	 3	34.6640	1.909	 83.03																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		1009.0	 2	34.6060	3.628	157.78																																				
PIRATA Fr27	st009c01	B	2017-03-09T08:41:00z	 -10.000	 -8.500		2032.0	 1	34.9400	5.455	237.13																																				
PIRATA Fr27	st010c01	B	2017-03-09T13:18:00z	 -10.000	 -8.000		   2.0	11	36.4030	4.566	199.21	 0.00	  0.110	0.110	  0.10	 0.75		0.0019							0.0082	0.0068		0.0027	0.0609					0.0076		0.0302	0.0366										
PIRATA Fr27	st010c01	B	2017-03-09T13:18:00z	 -10.000	 -8.000		  10.0	10	36.3960	4.572	199.44																																				
PIRATA Fr27	st010c01	B	2017-03-09T13:18:00z	 -10.000	 -8.000		  10.0	 9	36.3950	4.571	199.40																																				
PIRATA Fr27	st010c01	B	2017-03-09T13:18:00z	 -10.000	 -8.000		  20.0	 8	36.3960	4.572	199.44	 0.00	  0.050	0.050	  0.11	 0.66	0.0020	0.0026		0.0040	0.0022				0.0094	0.0074		0.0016	0.0623					0.0091		0.0307	0.0465										
