//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR12/data-final/CHIMIE/PIRATAFR12_CHIMIE_odv.txt
//Data treated : 2023-10-12T14:16:53
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR12/data-final/CHIMIE/PIRATAFR12_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	12	34.6326	2.500	108.00																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	11	34.6323	2.453	106.73																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	10	34.6328	2.460	107.00																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 9	34.6328	2.470	107.44																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 8	34.6320	2.461	107.00																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 7	34.6330	2.461	107.10																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 6	34.6340	2.459	107.00																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 5	34.6322	2.457	106.80																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 4	34.6323	2.461	107.00																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 3	34.6324	2.482	108.00																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 2	34.6324	2.466	107.20																																				
PIRATA Fr12	st001c01	B	2004-01-30T15:00:00z	  +5.001	 +0.002		 501.0	 1	34.6328	2.476	107.70																																				
