//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR21_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:23:53
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR21_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		   0.0	11	 34.323	4.426	193.50	 0.00	  0.200	0.200	  0.00	 0.90	0.0034	0.0066	0.0036	0.0052	0.0049				0.0186	0.0110		0.0043	0.0909			0.0051					0.1262	0.0728				
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	10	 34.660	2.210	 96.20	 0.00	 34.700	34.700	  2.23	20.10																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 9	 34.659	2.211	 96.20	 0.00	 34.600	34.600	  2.28	20.60																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 8	 34.661	2.268	 98.70	 0.00	 34.700	34.700	  2.27	20.80																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 7	 34.661	2.216	 96.40	 0.00	 34.600	34.600	  2.26	20.80																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 6	 34.661	2.220	 96.60	 0.00	 34.500	34.500	  2.25	20.80																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 5	 34.661	2.208	 96.10	 0.00	 34.500	34.500	  2.25	20.40																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 4	 34.662	2.202	 95.80	 0.00	 34.500	34.500	  2.25	20.90																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 3	 34.661	2.290	 99.60	 0.00	 34.600	34.600	  2.31	20.50																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 2	 34.660	2.209	 96.10	 0.00	 34.700	34.700	  2.29	19.90																										
PIRATA Fr21	st001c01	B	2011-05-05T13:28:00z	  -2.983	 +2.400		 500.0	 1	 34.663	2.210	 96.10	 0.00	 34.700	34.700	  2.29	19.00																										
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		   2.7	11	 34.561	4.321	188.80	 0.00	  0.000	0.000	  0.01	 0.80	0.0051	0.0093	0.0059	0.0062	0.0074				0.0201	0.0054			0.0669			0.0087					0.1000	0.0861				
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		  10.4	10	 34.560	4.746	207.40	 0.00	  0.100	0.100	  0.01	 0.80																										
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		  20.4	 9	 34.563	4.419	193.10	 0.01	  0.100	0.100	  0.02	 0.80	0.0047	0.0090	0.0065	0.0064	0.0074				0.0209	0.0051			0.0776			0.0087					0.1161	0.0856				
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		  40.2	 8	 35.233	4.830	210.90	 0.00	  0.200	0.200	  0.02	 0.90	0.0157	0.0220	0.0146	0.0139	0.0090				0.0497	0.0084	0.0030		0.0940			0.0311					0.1803	0.1907				
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		  59.6	 7	 35.828	3.611	157.30	 0.21	  5.600	5.400	  0.55	 2.80	0.0886	0.0673	0.0256	0.0951	0.0296				0.1727	0.0175	0.0066		0.0487			0.2040					0.2035	0.5677				
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		  80.4	 6	 35.680	3.181	138.50	 0.10	 14.600	14.500	  1.02	 4.90	0.0381	0.0219	0.0060	0.0480	0.0185				0.0519	0.0054			0.0185								0.0952	0.1482				
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		  99.7	 5	 35.643	2.883	125.50	 0.04	 16.500	16.400	  1.14	 5.50	0.0203	0.0125		0.0283	0.0113				0.0352	0.0030			0.0062								0.0544	0.0867				
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		 500.0	 4	 34.675	2.394	104.10	 0.00	 33.600	33.600	  2.16	18.70																										
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		1008.0	 3	 34.630	3.563	154.90	 0.00	 32.100	32.100	  2.20	29.70																										
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		1999.0	 2	 34.663	5.667	246.40	 0.00	 19.700	19.700	  1.32	20.50																										
PIRATA Fr21	st002c01	B	2011-05-07T07:00:00z	 -10.000	 +1.500		1999.1	 1	 34.664	5.673	246.70	 0.00	 19.700	19.700	  1.32	20.90																										
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		   2.0	11	 35.103	4.496	196.39	 0.00	  0.200	0.200	  0.01	 1.40		0.0073	0.0069	0.0043	0.0081				0.0158	0.0135		0.0021	0.0916			0.0044					0.1171	0.0839				
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		  10.0	10	 35.101	4.496	196.38	 0.00	  0.100	0.100	  0.04	 1.20																										
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		  20.0	 9	 35.103	4.500	196.52	 0.00	  0.200	0.200	  0.02	 1.10	0.0050	0.0115	0.0065	0.0065	0.0109				0.0231	0.0084		0.0009	0.0905			0.0070					0.1483	0.1037				
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		  40.0	 8	 35.592	4.525	197.43	 0.01	  0.300	0.300	  0.08	 0.90	0.0353	0.0336	0.0116	0.0276	0.0156				0.0879	0.0103	0.0025		0.1122			0.0748					0.2760	0.3151				
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		  60.0	 7	 35.888	3.349	145.92	 0.39	  7.600	7.200	  0.60	 2.60	0.1244	0.0794	0.0130	0.1357	0.0862				0.1481	0.0160	0.0045		0.0328			0.2116					0.1190	0.6303				
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		  80.0	 6	 35.763	2.818	122.74	 0.44	 13.600	13.100	  0.94	 2.70	0.0639	0.0312	0.0075	0.0575	0.0500				0.0607	0.0067	0.0012		0.0090			0.0827					0.0410	0.2619				
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		 100.0	 5	 35.770	2.851	124.14	 0.07	 15.100	15.100	  1.10	 5.60	0.0427	0.0200		0.0395	0.0365				0.0372	0.0043			0.0088			0.1081					0.0620	0.1511				
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		 500.0	 4	 34.723	2.713	118.09	 0.04	 29.000	28.900	  2.02	16.90																										
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		1000.0	 3	 34.614	3.534	153.72	 0.02	 29.200	29.200	  2.01	17.10																										
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		1000.1	 2	 34.614	3.568	155.20	 0.02	 30.600	30.600	  2.22	30.90																										
PIRATA Fr21	st003c01	B	2011-05-07T12:25:00z	 -10.000	 +1.000		2000.0	 1	 34.962	5.665	246.29	 0.01	 18.700	18.700	  1.31	21.60																										
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		   2.1	11	 35.438	4.523	197.50	 0.00	  0.000	0.000	  0.08	 0.90	0.0272	0.0131	0.0012	0.0303	0.0133				0.0317	0.0030			0.0058			0.0015					0.0370	0.0941				
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		  10.1	10	 35.436	4.640	202.60	 0.00	  0.100	0.100	  0.05	 1.10																										
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		  19.8	 9	 35.441	4.529	197.70	 0.01	  0.100	0.100	  0.08	 1.00	0.0481	0.0266	0.0067	0.0627	0.0160				0.0569	0.0058	0.0015		0.0192			0.0604					0.1057	0.2007				
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		  40.9	 8	 35.587	4.509	196.80	 0.03	  0.000	0.000	  0.08	 1.10	0.1408	0.0913	0.0111	0.1553	0.0416				0.2232	0.0175	0.0049		0.0752			0.2358					0.2908	0.6273				
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		  60.2	 7	 36.185	3.875	168.80	 0.36	  3.200	2.900	  0.38	 2.10	0.0126	0.0157	0.0062	0.0113	0.0129				0.0394	0.0071	0.0004		0.0798			0.0184					0.1403	0.1289				
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		  80.2	 6	 35.898	3.562	155.10	 0.29	  9.300	9.000	  0.77	 3.50	0.0036	0.0079	0.0037	0.0050	0.0084				0.0161	0.0052			0.0836			0.0062					0.0952	0.0656				
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		 100.8	 5	 35.674	2.909	126.60	 0.09	 14.100	14.000	  1.10	 5.20	0.0027	0.0070	0.0020	0.0038	0.0085				0.0142	0.0063		0.0010	0.0878			0.0046					0.0908	0.0651				
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		 501.3	 4	 34.707	2.676	116.40	 0.04	 28.000	28.000	  2.01	16.80																										
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		 501.1	 3	 34.706	2.672	116.20	 0.01	 28.000	28.000	  2.01	16.80																										
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		1000.5	 2	 34.630	3.555	154.60	 0.02	 28.700	28.600	  2.20	29.00																										
PIRATA Fr21	st004c01	B	2011-05-07T16:45:00z	 -10.000	 +0.500		2001.0	 1	 34.963	5.684	247.10	 0.01	 17.300	17.300	  1.30	20.70																										
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		   2.2	11	 35.597	4.541	198.20	 0.02	  0.100	0.100	  0.06	 1.40	0.0035	0.0066	0.0060	0.0050	0.0064				0.0186	0.0067		0.0010	0.0644			0.0056					0.0734	0.0652				
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  10.5	10	 35.600	4.732	206.50	 0.02	  0.100	0.100	  0.06	 1.70																										
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  20.5	 9	 35.727	4.363	190.40	 0.01	  0.100	0.100	  0.05	 1.70	0.0069	0.0117	0.0111	0.0071	0.0061				0.0270	0.0077	0.0010	0.0014	0.0721			0.0131					0.0944	0.1020				
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  40.8	 8	 36.491	4.063	177.10	 0.04	  0.200	0.100	  0.17	 2.50	0.1117	0.0863	0.0195	0.0997	0.0286				0.2317	0.0177	0.0053	0.0016	0.1282			0.1755					0.3582	0.6136				
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  60.5	 7	 36.409	4.299	187.30	 0.41	  2.800	2.400	  0.34	 2.30	0.0732	0.0524	0.0086	0.0778	0.0191				0.1204	0.0106	0.0079		0.0489			0.1305					0.2499	0.3607				
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  79.8	 6	 35.899	3.854	167.90	 0.09	  8.800	8.700	  0.68	 3.60	0.0299	0.0194	0.0025	0.0415	0.0090				0.0304	0.0040	0.0016		0.0131			0.0374					0.0920	0.1232				
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  99.0	 5	 35.792	3.737	162.80	 0.10	 10.300	10.200	  0.77	 4.40	0.0275	0.0178	0.0010	0.0371	0.0081				0.0311	0.0037	0.0008		0.0179			0.0224					0.1105	0.1043				
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		  98.4	 4	 35.772	3.691	160.70	 0.00	 31.000	31.000	  2.02	17.20																										
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		 500.3	 3	 34.675	2.765	120.30	 0.00	 30.900	30.900	  2.02	18.40																										
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		 999.0	 2	 34.620	2.822	122.70	 0.00	 31.500	31.500	  2.23	31.00																										
PIRATA Fr21	st005c01	B	2011-05-07T23:05:00z	 -10.000	 +0.000		1999.7	 1	 34.959	5.290	230.10	 0.00	 19.200	19.200	  1.30	20.70																										
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		   0.9	11	 35.871	4.542	198.20	 0.00	  0.000	0.000	  0.06	 1.60	0.0038	0.0068	0.0031	0.0059	0.0058				0.0170	0.0061	0.0010		0.0801			0.0086					0.0839	0.0729				
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		   9.9	10	 35.889	4.607	201.00	 0.03	  0.000	0.000	  0.07	 1.50																										
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		  19.9	 9	 36.005	4.552	198.60	 0.03	  0.000	0.000	  0.08	 1.40	0.0093	0.0136	0.0089	0.0114	0.0076				0.0343	0.0079	0.0008	0.0013	0.0912			0.0277					0.1265	0.1193				
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		  39.7	 8	 36.414	4.242	184.80	 0.26	  2.100	1.800	  0.35	 2.20	0.0983	0.0777	0.0175	0.1006	0.0247				0.1856	0.0186	0.0068	0.0011	0.0879			0.1983					0.2737	0.5262		0.0079		
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		  60.1	 7	 35.909	3.489	151.90	 0.23	  9.800	9.600	  0.78	 3.90	0.0679	0.0415	0.0064	0.0848	0.0208				0.0775	0.0088	0.0028		0.0299			0.0961					0.2796	0.1464		0.0051		
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		  81.2	 6	 35.794	3.536	153.90	 0.07	 11.000	11.000	  0.81	 4.20	0.0301	0.0177	0.0014	0.0429	0.0097				0.0319	0.0037	0.0012		0.0112			0.0283					0.0781	0.1186		0.0023		
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		  80.8	 5	 35.789	3.559	154.90	 0.06	 11.000	11.000	  0.82	 4.40																										
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		 100.2	 4	 35.686	3.623	157.40	 0.04	 11.700	11.700	  0.86	 4.70	0.0213	0.0111		0.0284	0.0054				0.0264	0.0024			0.0063			0.0093					0.0494	0.0753				
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		 500.1	 3	 34.605	3.096	134.70	 0.01	 30.900	30.900	  2.07	20.30																										
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		 999.6	 2	 34.660	3.680	160.00	 0.01	 30.700	30.700	  2.13	30.40																										
PIRATA Fr21	st006c01	B	2011-05-08T22:05:00z	 -10.000	 -0.500		1999.6	 1	 34.966	5.740	249.50	 0.00	 19.000	19.000	  1.28	21.10																										
PIRATA Fr21	st007c01	B	2011-05-09T03:15:00z	 -10.000	 -1.000		   3.5	11	 35.858	4.573	199.60	 0.00	  0.000	0.000	  0.05	 1.00	0.0042	0.0075	0.0034	0.0061	0.0052				0.0193	0.0066			0.0802			0.0081					0.0926	0.0736				
PIRATA Fr21	st007c01	B	2011-05-09T03:15:00z	 -10.000	 -1.000		  10.0	10	 35.859	4.569	199.40	 0.00	  0.000	0.000	  0.07	 1.10																										
PIRATA Fr21	st007c01	B	2011-05-09T03:15:00z	 -10.000	 -1.000		  19.0	 9	 35.873	4.625	201.80	 0.00	  0.000	0.000	  0.07	 1.10	0.0047	0.0075	0.0036	0.0065	0.0053				0.0207	0.0068			0.0831			0.0097					0.1000	0.0779				
PIRATA Fr21	st007c01	B	2011-05-09T03:15:00z	 -10.000	 -1.000		  40.0	 8	 36.159	4.511	196.70	 0.00	  0.000	0.000	  0.13	 1.30	0.0229	0.0218	0.0100	0.0195	0.0080				0.0598	0.0107	0.0018		0.1011			0.0317					0.1859	0.1809				
