//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR25/data-processing/CHIMIE/PIRATAFR25_CHIMIE_odv.txt
//Data treated : 2023-10-12T11:50:13
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR25/data-processing/CHIMIE/PIRATAFR25_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	11	34.9460	5.454	237.40	 0.00	 21.300	21.300	  1.49	23.30																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	10	34.9470	5.501	239.30	 0.01	 21.600	21.600	  1.54	25.00																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 9	34.9460	5.430	236.20	 0.00	 21.500	21.500	  1.51	25.00																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 8	34.9460	5.437	236.50	 0.00	 21.600	21.600	  1.51	25.10																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 7	34.9520	5.426	236.00	 0.00	 21.700	21.700	  1.50	25.00																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 6	34.9470	5.457	237.30	 0.00	 21.800	21.800	  1.47	25.40																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 5	34.9390	5.438	236.50	 0.00	 21.700	21.700	  1.49	24.90																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 4	34.9470	5.433	236.30	 0.00	 21.600	21.600	  1.45	24.80																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 3	35.0030	4.583	199.30	 0.01	 22.900	22.800	  1.51	22.00																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 2	34.9470	5.435	236.30	 0.00	 21.600	21.600	  1.44	24.40																															
PIRATA-FR25	st001c01	B	2015-03-21T13:00:00z	 -15.170	 +6.000		2000.0	 1	34.9510	5.464	237.50	 0.00	 21.600	21.600	  1.41	25.00																															
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		   2.9	11	35.0690	4.593	200.70	 0.00	  0.000	0.000	  0.00	 1.00	0.0049	0.0081	0.0048	0.0052	0.0065	0.0010		0.0032	0.0221	0.0099			0.1345		0.0024	0.0067		0.0186			0.0622	0.0919									
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		  11.3	10	35.0640	4.665	203.90	 0.00	  0.100	0.100	  0.00	 1.20																															
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		  21.5	 9	35.3480	4.758	207.80	 0.00	  0.100	0.100	  0.00	 1.10	0.0076	0.0143	0.0097	0.0089	0.0083	0.0012		0.0022	0.0326	0.0094			0.1324		0.0057	0.0116		0.0250			0.0838	0.1342									
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		  42.1	 8	35.8090	4.227	184.30	 0.02	  0.500	0.500	  0.06	 1.70	0.0473	0.1253	0.0292	0.1535	0.0607	0.0118	0.0282	0.0182	0.3104	0.0311	0.0084		0.1334		0.0319	0.2129		0.0665			0.1459	0.9194									
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		  60.5	 7	35.8000	2.803	122.10	 0.42	 15.400	15.000	  0.99	 3.90	0.0922	0.0593	0.0088	0.1024	0.0432	0.0170	0.0298	0.0055	0.1257	0.0117	0.0056		0.0429		0.0720	0.2017		0.0403			0.0805	0.4869									
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		  80.3	 6	35.7530	2.335	101.70	 0.07	 19.000	19.000	  1.25	 5.50	0.0662	0.0365	0.0061	0.0689	0.0465	0.0043	0.0055	0.0020	0.0790	0.0075	0.0014		0.0272		0.1129	0.0604		0.0371			0.0773	0.2393		0.0043							
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		 101.0	 5	35.6300	2.231	 97.10	 0.03	 20.400	20.400	  1.32	 6.60	0.0311	0.0155	0.0018	0.0293	0.0211	0.0021	0.0026	0.0012	0.0467	0.0034			0.0077		0.0573	0.0371		0.0202			0.0369	0.1121		0.0017							
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		 503.1	 4	34.6800	2.236	 97.30	 0.01	 35.100	35.000	  2.42	18.50																															
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		1008.8	 3	34.6470	3.620	157.50	 0.01	 33.000	33.000	  2.41	28.40																															
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		2021.0	 2	34.9550	5.997	260.70	 0.01	 20.400	20.400	  1.41	23.50																															
PIRATA-FR25	st002c01	B	2015-03-22T15:00:00z	 -12.500	 +3.000		2021.0	 1	34.9570	5.720	248.70	 0.00	 20.300	20.300	  1.39	23.00																															
PIRATA-FR25	st003c01	B	2015-03-23T15:00:00z	 -10.000	 +0.000		   2.0	11	35.0000	4.584	200.30	 0.00	  0.100	0.100	  0.03	 0.60	0.0148	0.0212	0.0204	0.0103	0.0100			0.0030	0.0488	0.0198	0.0005	0.0026	0.0901		0.0100	0.0103		0.0229			0.0812	0.1848		0.0015							
PIRATA-FR25	st003c01	B	2015-03-23T15:00:00z	 -10.000	 +0.000		  11.0	10	35.1900	4.571	199.70	 0.00	  0.000	0.000	  0.03	 0.50																															
PIRATA-FR25	st003c01	B	2015-03-23T15:00:00z	 -10.000	 +0.000		  21.0	 9	35.6230	4.601	200.90	 0.00	  0.000	0.000	  0.04	 0.60	0.0134	0.0158	0.0045	0.0106	0.0080			0.0013	0.0434	0.0072			0.0972		0.0137	0.0118		0.0247			0.1103	0.1394		0.0016							
PIRATA-FR25	st003c01	B	2015-03-23T15:00:00z	 -10.000	 +0.000		  41.0	 8	36.1880	4.662	203.10	 0.00	  0.000	0.000	  0.09	 0.90	0.0296	0.0302	0.0114	0.0247	0.0154			0.0013	0.0801	0.0093			0.0913		0.0294	0.0220		0.0370			0.1876	0.2007		0.0024							
PIRATA-FR25	st003c01	B	2015-03-23T15:00:00z	 -10.000	 +0.000		  62.3	 7	36.4040	4.177	182.00	 0.32	  3.800	3.500	  0.39	 1.70	0.0570	0.0411	0.0067	0.0732	0.0203	0.0054	0.0078	0.0030	0.1047	0.0091	0.0024		0.0463		0.0512	0.0932		0.0321			0.1054	0.2646									
