//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR30/data-final/CHIMIE/PIRATAFR30_CHIMIE_odv.txt
//Data treated : 2024-04-09T14:06:20
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR30/data-final/CHIMIE/PIRATAFR30_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	21																																							
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	20	34.8918	5.671	246.67																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	19	34.8901	5.620	244.40																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	18	34.8908	5.598	243.43																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	17	34.8931	5.598	243.43																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	16	34.8907	5.603	243.66																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	15	34.8924	5.616	244.23																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	14	34.8894	5.604	243.68																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	13	34.8922	5.611	244.00																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	12	34.8890	5.592	243.17																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	11	34.8895	5.610	243.92																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	10	34.8880	5.592	243.13																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 9	34.8903	5.598	243.36																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 8	34.8911	5.623	244.45																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 7	34.8912	5.603	243.60																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 6	34.8914	5.595	243.22																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 5	34.8877	5.596	243.26																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 4	34.8914	5.599	243.39																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 3	34.8892	5.586	242.79																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 2	34.8931	5.598	243.30																																				
PIRATA-FR30	st001c01	B	2020-02-18T19:04:19z	 -23.010	+11.481		4061.0	 1	34.8948	5.694	247.46																																				
PIRATA-FR30	st002c01	B	2020-02-19T11:47:28z	 -21.282	+10.000		   2.0	17	35.8621	4.721	205.98						0.0034	0.0051	0.0053	0.0022	0.0057			0.0021	0.0147	0.0104	0.0007	0.0027	0.0191			0.0041	0.0041		0.0082		0.0077	0.0614	0.0691	0.0024							
PIRATA-FR30	st002c01	B	2020-02-19T11:47:28z	 -21.282	+10.000		   5.0	16									0.0040	0.0058	0.0056	0.0025	0.0071			0.0022	0.0163	0.0115	0.0009	0.0020	0.0198			0.0047	0.0047		0.0081	0.0041	0.0081	0.0667	0.0748	0.0017							
PIRATA-FR30	st002c01	B	2020-02-19T11:47:28z	 -21.282	+10.000		  10.0	15	35.8649	4.716	205.76						0.0036	0.0053	0.0048	0.0025	0.0069			0.0021	0.0164	0.0110	0.0008	0.0029	0.0189			0.0046	0.0046		0.0084	0.0020	0.0062	0.0685	0.0747	0.0016							
