//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR23_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:13:41
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR23_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR23	1	11-May-2013T15:23:00Z	 -17.653	+13.969	 24.022	 35.691	 35.727	 0.00	  0.088	0.088	  0.14	 0.00	0.0160	0.0216	0.0131	0.0051	0.0350	0.0020	0.0023	0.0032	0.0526		0.0294	0.0073	0.0064	0.1863		0.0000	0.0222		-77777.0000	0.0350	-99999.0000	-99999.0000	0.3266		0.0041		
PIRATAFR23	2	12-May-2013T02:20:00Z	 -18.427	+11.975	 24.674	 35.688	 35.734	 0.00	  0.107	0.107	  0.16	 0.20	0.0088	0.0185	0.0155	0.0062	0.0580	0.0065	0.0052	0.0041	0.0363		0.0190	0.0114	0.0031	0.0753		0.0000	0.0577		-77777.0000	0.0328	-99999.0000	-99999.0000	0.3752		0.0055		
PIRATAFR23	3	12-May-2013T13:26:00Z	 -19.202	 +9.964	 27.653	 35.929	 35.973	 0.01	  0.088	0.098	  0.05	 0.98	0.0042	0.0067	0.0056	0.0035	0.0049	-99999.0000	-99999.0000	0.0014	0.0176		0.0136	-99999.0000	-99999.0000	0.1662		0.0056	0.0062		0.0207	-77777.0000	-99999.0000	0.0952	0.0886		0.0025		
PIRATAFR23	4	13-May-2013T00:47:00Z	 -19.970	 +7.966	 27.880	 35.913	 35.954	 0.00	  0.088	0.088	  0.05	 0.82	0.0046	0.0076	0.0085	0.0052	0.0058	0.0008	0.0014	-99999.0000	0.0195		0.0072	-99999.0000	0.0012	0.2016		0.0065	0.0076		0.0279	-77777.0000	-99999.0000	0.0926	0.0963		0.0016		
PIRATAFR23	5	13-May-2013T14:29:00Z	 -20.734	 +5.969	 29.166	 35.144	 35.161	 0.01	  0.088	0.098	  0.01	 0.87	0.0062	0.0094	0.0082	0.0074	0.0092	-99999.0000	-99999.0000	0.0021	0.0252		0.0214	0.0039	-99999.0000	0.2116		0.0055	0.0078		-77777.0000	0.0326	-99999.0000	0.0862	0.1501		0.0015		
PIRATAFR23	6	14-May-2013T02:36:00Z	 -21.494	 +3.970	 29.023	 34.524	 34.583	 0.00	  0.088	0.088	  0.04	 0.68	0.0041	0.0054	0.0048	0.0042	0.0049	-99999.0000	-99999.0000	0.0010	0.0171		0.0081	-99999.0000	-99999.0000	0.1300		0.0050	0.0060		0.0235	-77777.0000	-99999.0000	0.0677	0.0861		0.0011		
PIRATAFR23	7	14-May-2013T15:11:00Z	 -22.258	 +1.962	 28.942	 35.362	 35.387	 0.00	  0.088	0.088	  0.01	 0.77	0.0056	0.0089	0.0067	0.0055	0.0064	-99999.0000	-99999.0000	0.0013	0.0236		0.0269	-99999.0000	-99999.0000	0.2031		0.0053	0.0067		-77777.0000	0.0519	-99999.0000	0.0716	0.2428		0.0020		
PIRATAFR23	8	16-May-2013T18:00:00Z	 -20.400	 -2.011	 27.710	 36.106	 36.148	 0.00	  0.098	0.098	  0.10	 1.07	0.0062	0.0086	0.0071	0.0061	0.0063	-99999.0000	-99999.0000	0.0016	0.0241		0.0110	-99999.0000	0.0022	0.1267		0.0051	0.0083		0.0210	-77777.0000	-99999.0000	0.0734	0.0996		0.0011		
PIRATAFR23	9	17-May-2013T14:49:00Z	 -17.802	 -4.025	 27.730	 35.740	 35.788	 0.00	  0.078	0.078	  0.15	 1.16	0.0069	0.0085	0.0053	0.0078	0.0068	-99999.0000	-99999.0000	0.0011	0.0266		0.0132	-99999.0000	0.0060	0.1076		0.0058	0.0067		0.0174	-77777.0000	-99999.0000	0.0789	0.0830		0.0010		
PIRATAFR23	10	18-May-2013T10:37:00Z	 -15.197	 -6.022	 27.870	 35.600	 35.670	 0.00	  0.098	0.098	  0.18	 0.91	0.0038	0.0052	0.0028	0.0046	0.0043	-99999.0000	-99999.0000	0.0010	0.0155		0.0065	-99999.0000	0.0032	0.0961		0.0044	0.0061		0.0130	-77777.0000	-99999.0000	0.0596	0.0548		0.0008		
PIRATAFR23	11	19-May-2013T07:03:00Z	 -12.600	 -8.000	 27.440	 36.080	 36.127	 0.00	  0.059	0.059	  0.20	 0.98	0.0063	0.0096	0.0041	0.0077	0.0051	-99999.0000	-99999.0000	0.0013	0.0233		0.0040	-99999.0000	0.0004	0.0908		0.0105	0.0112		0.0183	-77777.0000	-99999.0000	0.0860	0.0673		0.0010		
