//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR35_CHIMIE_odv.txt
//Data treated : 2025-09-29T11:29:50
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR35_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR35	1	01-Mar-2025T01:07:00Z	 -24.067	+16.000	 22.262	 36.307	 36.308	 0.00	  0.086	0.083	  0.12	 0.51	0.0383	0.0331	0.0108	0.0285	0.0306	0.0093	0.0212	0.0047	0.0768	0.0039	0.0104	0.0069	0.0031	0.0417	0.0037	0.0238	0.0684	0.0922	0.0000	0.0203	0.0342	0.0171	0.3740	0.3911	0.0238		
PIRATAFR35	2	01-Mar-2025T09:46:00Z	 -24.017	+15.000	 22.338	 36.310	 36.221	-0.01	  0.334	0.340	  0.20	 0.90																											
PIRATAFR35	3	01-Mar-2025T15:15:00Z	 -23.067	+13.083	 22.830	 36.183	 36.288	 0.01	  1.153	1.143	  0.34	 2.04	0.0286	0.0244	0.0063	0.0211	0.0271	0.0059	0.0111	0.0034	0.0474	0.0032	0.0083	0.0059	0.0032	0.0643	0.0042	0.0027	0.0450	0.0477	0.0000	0.0258		0.0347	0.3338	0.3685	0.0251		
PIRATAFR35	4	01-Mar-2025T22:36:00Z	 -23.033	+12.083	 23.978	 35.810	 36.187	 0.01	  1.151	1.145	  0.33	 1.63																											
PIRATAFR35	5	02-Mar-2025T04:19:00Z	 -23.000	+11.083	 24.663	 35.896	 36.164	-0.01	  2.053	2.060	  0.38	 2.56	0.0100	0.0092	0.0066	0.0061	0.0150	0.0041	0.0057	0.0021	0.0171	0.0046	0.0055	0.0028	0.0027	0.0570	0.0039	0.0019	0.0216	0.0235	0.0000	0.0161		0.0291	0.1682	0.1973	0.0276		
PIRATAFR35	6	02-Mar-2025T13:20:00Z	 -22.033	+11.000	 25.101	 35.880	 35.881	 0.00	  0.147	0.147	  0.09	 0.93																											
PIRATAFR35	7	02-Mar-2025T21:13:00Z	 -21.017	+10.000	 24.372	 35.595	 35.618	 0.00	  0.097	0.096	  0.05	 0.74	0.0090	0.0099	0.0089	0.0065	0.0099			0.0024	0.0187	0.0083	0.0056		0.0032	0.1107		0.0078	0.0085	0.0163	0.0198	0.0000		0.0700	0.0819	0.1519	0.0071		
PIRATAFR35	8	03-Mar-2025T06:03:00Z	 -20.000	 +8.083	 26.149	 35.684	 35.687	-0.01	  0.073	0.084	  0.05	 0.84																											
PIRATAFR35	9	03-Mar-2025T14:36:00Z	 -18.067	 +7.083	 26.680	 35.780	 35.758	 0.01	  0.258	0.247	  0.19	 1.27	0.0096	0.0087	0.0076	0.0048	0.0070			0.0023	0.0226	0.0081	0.0066		0.0030	0.0972		0.0083	0.0078	0.0161	0.0200	0.0000	0.0055	0.0711	0.0972	0.1683	0.0075		
PIRATAFR35	10	03-Mar-2025T22:46:00Z	 -17.050	 +7.000	 27.756	 35.754	 35.771	 0.00	  0.055	0.052	  0.04	 0.70																											
