//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR25_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:13:55
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR25_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR25	1	18-Mar-2015T14:55:00Z	 -24.017	+16.000	 21.588	 35.838	 35.790	 0.01	  0.000	0.000	  0.13	 0.49	0.0107	0.0141	-99999.0000	0.0091	0.0144	-99999.0000	0.0014	0.0014	0.0258		0.0124	0.0014	0.0038	0.0943		-99999.0000	0.0100		-99999.0000	0.0157		0.0157	0.1933		-99999.0000		
PIRATAFR25	2	18-Mar-2015T23:06:00Z	 -23.017	+14.083	 22.001	 35.890	 35.877	 0.01	  0.000	0.000	  0.07	 0.49	0.0127	0.0137	-99999.0000	0.0121	0.0160	-99999.0000	0.0032	0.0035	0.0382		0.0095	0.0016	0.0015	0.1214		-99999.0000	0.0148		-99999.0000	0.0243		0.0206	0.2099		-99999.0000		
PIRATAFR25	3	19-Mar-2015T05:33:00Z	 -23.033	+14.000	 21.720	 35.817	 35.807	 0.01	  0.000	0.000	  0.11	 0.49	0.0174	0.0215	0.0045	0.0170	0.0231	-99999.0000	0.0036	0.0037	0.0636		0.0107	0.0034	0.0010	0.0488		0.0288	-99999.0000		-99999.0000	0.0186		-99999.0000	0.2226		-99999.0000		
PIRATAFR25	4	19-Mar-2015T12:34:00Z	 -21.033	+12.083	 21.621	 35.756	 35.744	 0.04	  0.195	0.195	  0.21	 0.49	0.0687	0.1222	0.0152	0.0213	0.3368	-99999.0000	0.0044	-99999.0000	0.1243		0.0750	0.0055	0.0084	0.0508		-99999.0000	0.0325		-99999.0000	0.0275		-99999.0000	0.6839		-99999.0000		
PIRATAFR25	5	19-Mar-2015T19:20:00Z	 -20.050	+11.083	 22.230	 35.723	 35.709	 0.01	  0.000	0.000	  0.18	 0.39	0.0420	0.0475	0.0068	0.0188	0.0502	-99999.0000	0.0042	0.0071	0.1277		0.0220	0.0048	0.0021	0.1781		-99999.0000	0.0433		-99999.0000	0.0397		-99999.0000	0.5315		-99999.0000		
PIRATAFR25	6	20-Mar-2015T02:21:00Z	 -19.083	+10.083	 22.750	 35.610	 35.591	 0.01	  0.000	0.000	  0.19	 0.29	0.0193	0.0314	0.0105	0.0103	0.0406	0.0059	0.0028	0.0046	0.1001		0.0182	0.0031	0.0020	0.0740		-99999.0000	0.0332		-99999.0000	0.0259		-99999.0000	0.2857		-99999.0000		
PIRATAFR25	7	20-Mar-2015T09:28:00Z	 -18.067	 +9.083	 25.140	 35.764	 35.753	 0.00	  0.000	0.000	  0.06	 0.98	0.0108	0.0116	0.0030	0.0074	0.0102	-99999.0000	-99999.0000	-99999.0000	0.0416		0.0138	0.0006	0.0027	0.1170		-99999.0000	0.0119		-99999.0000	0.0234		0.0416	0.1947		-99999.0000		
PIRATAFR25	8	20-Mar-2015T15:12:00Z	 -17.083	 +8.083	 25.680	 35.750	 35.739	 0.01	  0.098	0.098	  0.12	 0.78	0.0039	0.0105	0.0019	0.0022	0.0523	-99999.0000	-99999.0000	-99999.0000	0.0061		0.0050	0.0033	0.0019	0.0630		-99999.0000	0.0124		-99999.0000	0.0149		0.0239	0.1621		-99999.0000		
PIRATAFR25	9	20-Mar-2015T23:13:00Z	 -16.083	 +7.083	 26.120	 35.810	 35.797	 0.00	  0.000	0.000	  0.06	 1.07	0.0093	0.0102	0.0045	0.0054	0.0066	-99999.0000	-99999.0000	-99999.0000	0.0283		0.0072	-99999.0000	0.0015	0.1138		-99999.0000	0.0108		-99999.0000	0.0181		0.0398	0.1304		-99999.0000		
PIRATAFR25	10	21-Mar-2015T05:56:00Z	 -16.000	 +6.083	 27.268	 35.518	 35.504	 0.00	  0.000	0.000	  0.06	 0.10	0.0085	0.0094	0.0070	0.0054	0.0088	-99999.0000	-99999.0000	-99999.0000	0.0197		0.0051	-99999.0000	-99999.0000	0.0811		-99999.0000	0.0100		-99999.0000	0.0203		-99999.0000	0.1638		-99999.0000		
