//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR24_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:13:49
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR24_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR24	1	10-Apr-2014T13:45:00Z	 -17.700	+13.817	 19.770	 35.602	 35.619	 0.33	  2.068	1.736	  0.28	 1.46	0.1633	0.4131	-99999.0000	0.0201	1.2739	0.0059	-99999.0000	0.0065	0.1458		0.4828	0.0864	0.0731	0.0209	0.0054	-99999.0000	0.0518	0.0518	-99999.0000	0.0894		-99999.0000	2.7035	2.7035	0.0259		
PIRATAFR24	2	11-Apr-2014T01:11:00Z	 -18.450	+11.967	 22.187	 35.625	 35.631	 0.06	  0.556	0.497	  0.25	 0.89	0.0797	0.1319	-99999.0000	0.0311	0.3129	0.0162	0.0170	0.0137	0.1363		0.0543	0.0313	0.0048	0.0341	0.0065	-99999.0000	0.1263	0.1263	-99999.0000	0.0402		-99999.0000	0.9890	0.9890	0.0099		
PIRATAFR24	3	11-Apr-2014T13:21:00Z	 -19.167	 +9.967	 23.524	 35.587	 35.588	 0.00	  0.098	0.098	  0.26	 1.02	0.0691	0.0568	0.0145	0.0143	0.0609	0.0037	0.0076	0.0086	0.2247		0.0934	0.0036	0.0199	0.1180	-99999.0000	-99999.0000	0.0492	0.0492	-99999.0000	0.0313		0.0101	0.5491	0.5592	0.0049		
PIRATAFR24	4	12-Apr-2014T01:32:00Z	 -19.950	 +7.967	 25.410	 35.695	 35.700	 0.00	  0.088	0.088	  0.10	 0.58	0.0116	0.0144	0.0073	0.0104	0.0137	0.0009	-99999.0000	0.0025	0.0359		0.0129	-99999.0000	0.0016	0.1579	-99999.0000	0.0034	0.0128	0.0162	0.0229	-99999.0000		0.0752	0.1370	0.2122	0.0021		
PIRATAFR24	5	12-Apr-2014T16:05:00Z	 -20.700	 +5.967	 28.173	 35.777	 35.783	 0.00	  0.000	0.000	  0.07	 0.89	0.0132	0.0151	0.0072	0.0117	0.0120	0.0009	-99999.0000	0.0018	0.0399		0.0247	-99999.0000	0.0084	0.1655	-99999.0000	0.0057	0.0106	0.0163	-99999.0000	0.0412		0.1004	0.2423	0.3427	0.0033		
PIRATAFR24	6	13-Apr-2014T14:22:00Z	 -21.483	 +3.967	 28.711	 35.016	 34.985	 0.00	  0.088	0.088	  0.03	 0.76	0.0144	0.0177	0.0093	0.0121	0.0136	0.0011	-99999.0000	0.0018	0.0446		-99999.0000	-99999.0000	-99999.0000	0.1529	-99999.0000	0.0133	0.0142	0.0275	-99999.0000	0.0565		0.1478	0.2540	0.4018	0.0047		
PIRATAFR24	7	13-Apr-2014T16:49:00Z	 -22.250	 +1.983	 28.933	 35.306	 35.312	 0.00	  0.098	0.098	  0.08	 0.79	0.0094	0.0138	0.0105	0.0076	0.0103	0.0005	-99999.0000	0.0030	0.0365		0.0247	-99999.0000	0.0041	0.1184	-99999.0000	0.0030	0.0064	0.0093	-99999.0000	0.0303		0.0636	0.1824	0.2460	0.0025		
PIRATAFR24	8	15-Apr-2014T17:00:00Z	 -20.383	 -2.017	 29.084	 35.923	 35.938	 0.00	  0.098	0.098	  0.06	 0.73	0.0037	0.0079	-99999.0000	0.0036	0.0085	0.0007	-99999.0000	0.0011	0.0149		0.0157	-99999.0000	0.0029	0.1304	-99999.0000	0.0030	0.0032	0.0062	-99999.0000	0.0339		0.0625	0.1517	0.2142	0.0025		
PIRATAFR24	9	16-Apr-2014T17:35:00Z	 -17.767	 -4.017	 28.694	 36.039	 36.038	 0.00	  0.107	0.107	  0.08	 0.79	0.0035	0.0057	0.0048	0.0037	0.0036	-99999.0000	-99999.0000	0.0011	0.0154		0.0071	-99999.0000	0.0017	0.0936	-99999.0000	0.0020	0.0030	0.0050	0.0116	-99999.0000		0.0512	0.0336	0.0848	0.0016		
PIRATAFR24	10	17-Apr-2014T21:57:00Z	 -15.167	 -6.017	 28.402	 36.374	 36.415	 0.00	  0.097	0.097	  0.18	 0.98	0.0039	0.0039	0.0024	0.0034	0.0022	-99999.0000	-99999.0000	0.0007	0.0161		0.0048	-99999.0000	0.0008	0.0928	-99999.0000	0.0035	0.0048	0.0083	0.0111	-99999.0000		0.0459	0.0401	0.0861	0.0012		
PIRATAFR24	11	18-Apr-2014T18:35:00Z	 -12.550	 -8.017	 27.976	 36.479	 36.519	 0.00	  0.166	0.166	  0.18	 1.00	0.0033	0.0026	0.0026	0.0035	0.0026	-99999.0000	-99999.0000	0.0009	0.0135		0.0045	-99999.0000	0.0008	0.0854	-99999.0000	0.0033	0.0044	0.0077	0.0099	-99999.0000		0.0456	0.0365	0.0821	0.0013		
PIRATAFR24	12	27-Apr-2014T21:18:00Z	  -9.150	 +2.017	 29.510	 34.604	 34.661	 0.00	  0.078	0.078	  0.20	 0.85																											
PIRATAFR24	13	28-Apr-2014T07:16:00Z	  -7.517	 +3.033	 29.413	 34.633	 34.682	 0.00	  0.088	0.088	  0.09	 0.93	0.0090	0.0130	0.0088	0.0081	0.0064	-99999.0000	-99999.0000	0.0018	0.0331		0.0070	-99999.0000	0.0007	0.1122	-99999.0000	0.0241	-99999.0000	0.0241	0.0310	-99999.0000		0.1243	0.1269	0.2512	0.0030		
PIRATAFR24	14	28-Apr-2014T17:38:00Z	  -5.917	 +4.000	 30.030	 34.840	 34.902	 0.00	  0.098	0.098	  0.07	 0.99	0.0050	0.0106	0.0192	0.0048	0.0051	0.0010	-99999.0000	0.0024	0.0196		0.0107	-99999.0000	0.0019	0.1448	-99999.0000	0.0065	0.0068	0.0133	0.0249	-99999.0000		0.1027	0.1128	0.2155	0.0025		
PIRATAFR24	15	29-Apr-2014T05:06:00Z	  -4.283	 +5.017	 29.207	 35.113	 35.149	 0.04	  0.078	0.039	  0.08	 1.51	0.0060	0.0091	0.0085	0.0045	0.0068	0.0012	-99999.0000	0.0014	0.0250		0.0074	-99999.0000	-99999.0000	0.1510	-99999.0000	0.0074	0.0085	0.0159	0.0283	-99999.0000		0.0930	0.1185	0.2115	0.0023		
PIRATAFR24	16	01-May-2014T18:39:00Z	  -3.983	 +3.900	 29.654	 34.975	 34.990	 0.00	  0.068	0.068	  0.06	 1.21	0.0047	0.0072	0.0040	0.0049	0.0054	0.0010	-99999.0000	0.0018	0.0192		0.0080	-99999.0000	0.0014	0.1305	-99999.0000	0.0058	0.0075	0.0133	0.0211	-99999.0000		0.0927	0.0768	0.1695	0.0015		
PIRATAFR24	17	02-May-2014T05:03:00Z	  -4.033	 +1.967	 29.626	 34.688	 34.681	 0.00	  0.098	0.098	  0.14	 1.13	0.0038	0.0066	0.0045	0.0040	0.0039	-99999.0000	-99999.0000	0.0013	0.0172		0.0054	-99999.0000	0.0005	0.0920	-99999.0000	0.0048	0.0060	0.0108	0.0166	-99999.0000		0.0638	0.0653	0.1291	0.0015		
PIRATAFR24	18	02-May-2014T16:04:00Z	  -6.067	 +1.300	 29.440	 34.591	 34.597	 0.00	  0.098	0.098	  0.13	 1.01	0.0044	0.0069	0.0042	0.0039	0.0041	0.0005	-99999.0000	0.0018	0.0210		0.0096	-99999.0000	0.0030	0.1299	-99999.0000	0.0034	0.0055	0.0089	0.0191	-99999.0000		0.0654	0.0749	0.1402	0.0013		
PIRATAFR24	19	03-May-2014T02:30:00Z	  -8.000	 +0.650	 28.620	 34.922	 34.972	 0.00	  0.098	0.098	  0.10	 0.66	0.0034	0.0068	0.0080	0.0037	0.0041	-99999.0000	-99999.0000	0.0010	0.0144		0.0056	-99999.0000	0.0007	0.0911	-99999.0000	0.0041	0.0051	0.0091	0.0159	-99999.0000		0.0613	0.0608	0.1221	0.0013		
PIRATAFR24	20	05-May-2014T00:15:00Z	  -7.967	 +0.000	 28.038	 35.545	 35.555	 0.06	  0.088	0.029	  0.11	 0.79	0.0033	0.0053	0.0047	0.0038	0.0047	-99999.0000	-99999.0000	-99999.0000	0.0139		0.0045	-99999.0000	0.0010	0.1013	-99999.0000	0.0029	0.0025	0.0054	0.0132	-99999.0000		0.0519	0.0458	0.0978	0.0010		
PIRATAFR24	21	05-May-2014T12:02:00Z	  -5.983	 +0.000	 28.243	 34.960	 35.054	 0.00	  0.107	0.107	  0.00	 0.66	0.0041	0.0084	0.0109	0.0046	0.0050	-99999.0000	-99999.0000	0.0036	0.0178		0.0144	-99999.0000	0.0028	0.1558	-99999.0000	0.0177	-99999.0000	0.0177	0.0307	-99999.0000		0.1468	0.0990	0.2458	0.0022		
PIRATAFR24	22	06-May-2014T00:05:00Z	  -3.967	 +0.000	 29.463	 34.354	 34.389	 0.00	  0.059	0.059	  0.00	 0.65	0.0031	0.0052	0.0044	0.0029	0.0036	-99999.0000	-99999.0000	0.0012	0.0146		0.0058	-99999.0000	0.0007	0.1125	-99999.0000	0.0039	0.0038	0.0077	0.0163	-99999.0000		0.0618	0.0492	0.1109	0.0009		
PIRATAFR24	23	06-May-2014T12:29:00Z	  -2.017	 +0.000	 29.533	 34.287	 34.305	 0.00	  0.098	0.098	  0.05	 0.49	0.0054	0.0107	0.0079	0.0059	0.0046	0.0006	-99999.0000	0.0024	0.0260		0.0105	-99999.0000	0.0016	0.1276	-99999.0000	0.0085	0.0064	0.0148	0.0264	-99999.0000		0.1153	0.0931	0.2084	0.0017		
PIRATAFR24	24	08-May-2014T14:14:00Z	  -2.033	 -1.267	 29.058	 33.802	 33.846	 0.00	  0.068	0.068	  0.02	 0.33	0.0050	0.0098	0.0091	0.0047	0.0092	0.0007	-99999.0000	0.0025	0.0216		0.0130	-99999.0000	0.0040	0.1407	-99999.0000	0.0050	0.0063	0.0113	0.0228	-99999.0000		0.0774	0.1071	0.1846	0.0020		
PIRATAFR24	25	09-May-2014T03:12:00Z	  +4.000	 -2.500	 29.015	 34.164	 34.215	 0.03	  0.068	0.039	  0.03	 1.14	0.0076	0.0109	0.0072	0.0068	0.0072	0.0007	-99999.0000	0.0015	0.0290		0.0070	-99999.0000	0.0008	0.1466	-99999.0000	0.0081	0.0089	0.0170	0.0333	-99999.0000		0.1031	0.1318	0.2349	0.0033		
