//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR34_CHIMIE_odv.txt
//Data treated : 2025-01-14T16:43:36
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR34_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR34	1	29-Feb-2024T15:40:00Z	 -24.617	+15.881	 24.513	 36.179	 36.312	 0.02	  0.114	0.098	  0.17	 1.08	0.0031	0.0075	0.0030	0.0036	0.0060		0.0010	0.0010	0.0116		0.0035		0.0020	0.0860		0.0060	0.0048	0.0108	0.0155	0.0000		0.0658	0.0947	0.1605	0.0029		
PIRATAFR34	2	29-Feb-2024T20:48:00Z	 -24.243	+14.985	 24.812	 36.007	 36.038	 0.02	  0.078	0.063	  0.11	 1.11																											
PIRATAFR34	3	01-Mar-2024T02:52:00Z	 -23.776	+13.940	 24.777	 35.582	 35.711	 0.01	  0.059	0.045	  0.39	 1.29	0.0100	0.0136	0.0076	0.0108	0.0150	0.0026	0.0029	0.0016	0.0295	0.0040	0.0071			0.0466		0.0051	0.0174	0.0225	0.0000	0.0152		0.0496	0.1464	0.1960	0.0025		
PIRATAFR34	4	01-Mar-2024T08:19:00Z	 -23.414	+12.995	 25.800	 35.547	 35.658	 0.01	  0.054	0.045	  0.03	 1.20																											
PIRATAFR34	5	01-Mar-2024T14:01:00Z	 -22.999	+11.995	 26.189	 35.627	 35.758	 0.01	  0.104	0.097	  0.06	 1.28	0.0027	0.0074	0.0025	0.0028	0.0036			0.0008	0.0086		0.0012			0.0805		0.0051	0.0037	0.0088	0.0144	0.0000		0.0756	0.0576	0.1332	0.0028		
PIRATAFR34	6	02-Mar-2024T12:54:00Z	 -22.357	+10.935	 26.862	 35.278	 35.658	 0.01	  0.907	0.897	  0.46	 3.42																											
PIRATAFR34	7	02-Mar-2024T08:39:00Z	 -21.272	 +9.989	 28.320	 35.183	 35.433	 0.01	  0.339	0.329	  0.41	 2.53	0.0013	0.0049		0.0012	0.0020			0.0007	0.0054		0.0009			0.0741		0.0039	0.0028	0.0067	0.0102	0.0000		0.0467	0.0435	0.0902	0.0029		
PIRATAFR34	8	03-Mar-2024T24:32:00Z	 -17.625	 +7.007	 29.941	 35.172	 35.287	 0.01	  0.067	0.059	  0.07	 1.39																											
PIRATAFR34	9	03-Mar-2024T20:45:00Z	 -16.418	 +5.987	 29.963	 34.910	 34.986	 0.01	  0.067	0.059	  0.07	 1.11	0.0028	0.0068	0.0033	0.0038	0.0054				0.0114		0.0028			0.0787		0.0061	0.0020	0.0081	0.0000	0.0136		0.0358	0.0833	0.1191	0.0022		
PIRATAFR34	10	04-Mar-2024T05:10:00Z	 -15.203	 +4.990	 30.515	 34.451	 34.577	 0.01	  0.082	0.073	  0.08	 1.20																											
PIRATAFR34	11	04-Mar-2024T14:46:00Z	 -13.736	 +3.986	 30.744	 34.103	 34.148	 0.01	  0.067	0.058	  0.03	 1.04	0.0079	0.0125	0.0054	0.0056	0.0073			0.0035	0.0392		0.0099		0.0049	0.0839		0.0001	0.0015	0.0016	0.0000	0.0121		0.0236	0.1948	0.2184	0.0016		
PIRATAFR34	12	05-Mar-2024T12:02:00Z	 -12.226	 +2.987	 30.619	 34.482	 34.519	 0.01	  0.074	0.063	  0.07	 1.25																											
PIRATAFR34	13	05-Mar-2024T09:11:00Z	 -10.754	 +2.002	 30.402	 34.285	 34.419	 0.01	  0.022	0.017	  0.05	 1.11	0.0049	0.0107	0.0089	0.0051	0.0074	0.0005			0.0182		0.0055			0.0689		0.0074	0.0092	0.0166	0.0000	0.0172		0.0499	0.1312	0.1811	0.0031		
PIRATAFR34	14	11-Mar-2024T23:27:00Z	  -9.983	-11.013	 28.589	 36.494	 36.412	 0.01	  3.042	3.030	  0.26	 3.01																											
PIRATAFR34	15	12-Mar-2024T04:51:00Z	  -9.983	-12.020	 27.900	 36.516	 36.680	 0.00	  0.060	0.057	  0.12	 1.15	0.0017	0.0059	0.0036	0.0031	0.0043				0.0068		0.0016			0.0587		0.0048	0.0058	0.0106	0.0085	0.0000		0.0319	0.0338	0.0657	0.0018		
PIRATAFR34	16	12-Mar-2024T10:31:00Z	  -9.983	-13.025	 27.604	 36.668	 36.784	 0.01	  0.061	0.052	  0.15	 1.19																											
PIRATAFR34	17	12-Mar-2024T16:02:00Z	  -9.983	-14.036	 27.172	 37.762	 36.887	 0.01	  0.073	0.066	  0.11	 1.03		0.0050	0.0039	0.0026	0.0042				0.0051		0.0023			0.0434		0.0034	0.0050	0.0084	0.0066	0.0000		0.0206	0.0322	0.0528			
PIRATAFR34	18	12-Mar-2024T21:30:00Z	  -9.966	-15.047	 27.332	 36.863	 36.992	 0.01	  0.064	0.054	  0.12	 0.94																											
PIRATAFR34	19	13-Mar-2024T02:54:00Z	  -9.967	-16.042	 25.900	 36.776	 36.828	 0.00	  0.142	0.139	  0.17	 1.18	0.0018	0.0056	0.0036	0.0034	0.0042				0.0065		0.0017			0.0321			0.0030	0.0030	0.0042	0.0000		0.0118	0.0273	0.0391			
PIRATAFR34	20	13-Mar-2024T08:15:00Z	  -9.967	-17.002	 26.678	 36.774	 36.899	 0.00	  0.031	0.031	  0.15	 0.79																											
PIRATAFR34	21	13-Mar-2024T14:12:00Z	  -9.967	-18.025	 26.837	 36.784	 36.901	 0.00	  0.032	0.028	  0.16	 0.68	0.0013	0.0047	0.0034	0.0020	0.0019				0.0063	0.0011	0.0018		0.0009	0.0272					0.0024	0.0000		0.0107	0.0239	0.0346			
PIRATAFR34	22	13-Mar-2024T20:02:00Z	  -9.967	-19.015	 26.660	 36.672	 36.903	 0.01	  0.279	0.268	  0.19	 1.14																											
PIRATAFR34	23	14-Mar-2024T21:49:00Z	  -8.939	-18.991	 26.519	 36.640	 36.861	 0.01	  1.440	1.430	  0.24	 1.83														0.0155					0.0012	0.0000		0.0052	0.0033	0.0085			
PIRATAFR34	24	15-Mar-2024T05:37:00Z	 -17.809	-17.963	 26.104	 36.494	 36.596	 0.00	  0.065	0.063	  0.19	 0.67																											
