//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR33_CHIMIE_odv.txt
//Data treated : 2025-01-14T16:47:28
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR33_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR33	1	05-Mar-2023T15:41:00Z	 -24.647	+15.950	 22.806	 36.333	 36.321	 0.03	  1.603	1.575	  0.18	 1.29	0.0038	0.0114	0.0056	0.0136	0.0129	0.0052	0.0053	0.0029	0.0299		0.0115	0.0035	0.0038	0.0611	0.0020		0.0120	0.0120		0.0142		0.0232	0.1708	0.1940	0.0052		
PIRATAFR33	2	05-Mar-2023T21:43:00Z	 -24.233	+14.967	 23.983	 35.671	 35.723	 0.03	  0.147	0.120	  0.07	 0.99																											
PIRATAFR33	3	06-Mar-2023T03:45:00Z	 -23.785	+13.957	 23.976	 35.892	 35.855	 0.02	  0.080	0.059	  0.06	 0.80	0.0048	0.0076	0.0045	0.0055	0.0056				0.0123	0.0037	0.0035			0.0731		0.0045	0.0058	0.0103	0.0137			0.0581	0.0670	0.1251	0.0021		
PIRATAFR33	4	06-Mar-2023T09:25:00Z	 -23.410	+12.982	 24.366	 35.679	 35.673	 0.02	  0.042	0.025	  0.04	 1.13																											
PIRATAFR33	5	06-Mar-2023T16:32:00Z	 -22.996	+11.993	 25.320	 35.568	 35.573	 0.02	  0.088	0.072	  0.03	 1.32	0.0059	0.0051	0.0066	0.0069	0.0090				0.0141		0.0056		0.0027	0.0786					0.0105			0.0547	0.0517	0.1064	0.0022		
PIRATAFR33	6	07-Mar-2023T06:01:00Z	 -22.458	+11.022	 25.231	 35.595	 35.565	 0.03	  2.808	2.780	  0.30	 3.09																											
PIRATAFR33	7	07-Mar-2023T14:20:00Z	 -21.271	 +9.987	 25.315	 35.569	 35.571	 0.03	  2.123	2.095	  0.33	 3.14	0.0021	0.0049	0.0045	0.0024	0.0139				0.0031	0.0034	0.0024			0.0673					0.0102			0.0467	0.0485	0.0952	0.0082		
PIRATAFR33	8	07-Mar-2023T22:39:00Z	 -20.032	 +8.984	 26.555	 35.634	 35.611	 0.02	  0.516	0.500	  0.08	 1.60																											
PIRATAFR33	9	08-Mar-2023T17:10:00Z	 -17.645	 +7.023	 29.396	 35.493	 35.479	 0.02	  0.105	0.082	  0.08	 1.22	0.0043	0.0167	0.0090		0.0349			0.0053	0.0247		0.0192		0.0033	0.0913						0.0192	0.0176	0.0607	0.1290	0.1897	0.0185		
PIRATAFR33	10	09-Mar-2023T01:55:00Z	 -16.426	 +5.994	 29.956	 34.990	 35.080	 0.03	  0.682	0.651	  0.10	 1.04																											
PIRATAFR33	11	09-Mar-2023T10:28:00Z	 -15.221	 +5.004	 29.700	 34.606	 34.623	 0.03	  0.767	0.740	  0.24	 1.99	0.0033	0.0076		0.0060	0.0084				0.0147	0.0058	0.0031			0.1027		0.0086	0.0114	0.0200		0.0205		0.0582	0.0912	0.1494	0.0063		
PIRATAFR33	12	09-Mar-2023T20:19:00Z	 -13.759	 +3.994	 29.250	 33.697	 34.328	 0.02	  0.254	0.231	  0.06	 1.34																											
PIRATAFR33	13	10-Mar-2023T06:01:00Z	 -12.273	 +3.015	 29.916	 34.497	 33.956	 0.03	  2.510	2.481	  0.30	 3.14		0.0010		0.0025	0.0018				0.0067	0.0048	0.0022			0.0633					0.0083			0.0228	0.0316	0.0544	0.0033		
PIRATAFR33	14	10-Mar-2023T16:34:00Z	 -10.770	 +2.015	 29.800	 34.728	 34.385	 0.06	  3.200	3.142	  0.29	 3.54																											
PIRATAFR33	15	17-Mar-2023T00:19:00Z	  -9.982	-10.988	 27.100	 36.641	 36.508	 0.04	  5.022	4.980	  0.21	 4.94									0.0013					0.0392					0.0038			0.0231	0.0055	0.0285	0.0033		
PIRATAFR33	16	17-Mar-2023T06:10:00Z	  -9.984	-10.050	 26.454	 36.811	 36.788	 0.02	  0.676	0.660	  0.18	 1.58																											
PIRATAFR33	17	17-Mar-2023T12:58:00Z	  -9.984	-12.987	 26.449	 36.822	 36.776	 0.02	  0.351	0.331	  0.20	 1.35		0.0030		0.0028	0.0036				0.0047		0.0011			0.0433					0.0042			0.0183	0.0132	0.0315			
PIRATAFR33	18	17-Mar-2023T18:52:00Z	  -9.984	-12.028	 26.088	 36.949	 36.805	 0.03	  1.379	1.351	  0.32	 2.49																											
PIRATAFR33	19	17-Mar-2023T01:19:00Z	  -9.967	-14.977	 25.500	 36.882	 36.913	 0.02	  1.443	1.423	  0.23	 1.75				0.0014	0.0018				0.0036					0.0465					0.0035			0.0170	0.0069	0.0239			
PIRATAFR33	20	17-Mar-2023T07:02:00Z	  -9.966	-14.031	 25.769	 36.816	 36.873	 0.02	  0.728	0.708	  0.27	 1.68																											
PIRATAFR33	21	18-Mar-2023T13:17:00Z	  -9.967	-16.995	 25.700	 36.848	 36.812	 0.03	  1.181	1.147	  0.32	 2.09				0.0024	0.0016				0.0045					0.0404					0.0040			0.0188	0.0096	0.0284	0.0034		
PIRATAFR33	22	18-Mar-2023T19:12:00Z	  -9.966	-16.020	 25.603	 36.879	 36.835	 0.03	  1.132	1.105	  0.31	 1.90																											
PIRATAFR33	23	19-Mar-2023T01:32:00Z	  -9.969	-18.980	 25.426	 36.781	 36.869	 0.04	  1.356	1.318	  0.33	 2.03									0.0034					0.0340					0.0022			0.0132	0.0055	0.0187			
PIRATAFR33	24	19-Mar-2023T23:51:00Z	  -8.960	-18.990	 25.490	 36.785	 36.797	 0.02	  0.241	0.223	  0.19	 0.87																											
PIRATAFR33	25	20-Mar-2023T07:59:00Z	  -7.866	-17.985	 25.257	 36.534	 36.790	 0.02	  1.641	1.621	  0.30	 2.17		0.0013		0.0015	0.0007			0.0007		0.0049	0.0014			0.0316					0.0021			0.0125	0.0119	0.0244			
PIRATAFR33	26	20-Mar-2023T16:24:00Z	  -6.774	-16.979	 25.314	 36.810	 36.604	 0.04	  1.456	1.414	  0.35	 2.01																											
PIRATAFR33	27	22-Mar-2023T19:26:00Z	  -5.538	-14.976	 25.532	 36.840	 36.756	 0.02	  8.717	8.693	  0.32	 4.84														0.0185					0.0010			0.0058	0.0013	0.0071			
PIRATAFR33	28	23-Mar-2023T01:34:00Z	  -5.346	-12.024	 25.720	 36.797	 36.810	 0.03	  4.125	4.100	  0.35	 3.01																											
PIRATAFR33	29	23-Mar-2023T07:12:00Z	  -5.171	-12.996	 26.379	 36.670	 36.797	 0.01	  0.397	0.383	  0.21	 1.33				0.0044	0.0037				0.0051		0.0019		0.0000	0.0526					0.0052			0.0263	0.0135	0.0398			
PIRATAFR33	30	23-Mar-2023T13:08:00Z	  -4.966	-10.004	 26.542	 36.612	 36.588	 0.02	  0.364	0.340	  0.25	 1.53																											
