//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR31_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:00:16
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR31_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR31	1	04-Mar-2021T12:50:00Z	 -19.950	+13.983	 21.370	 35.774	 35.862	 0.22	  1.607	1.383	  0.29	 1.31	0.0575	0.1334	0.0224	0.0380	0.2279	0.0067	0.0172	0.0042	0.0974		0.0545	0.1077	0.0273	0.0208	-9999.9999	-9999.9999	0.0520	-9999.9999	-9999.9999	0.0338	-9999.9999	-9999.9999	0.9118	-9999.9999	0.0085	-9999.9999	
PIRATAFR31	2	04-Mar-2021T20:44:00Z	 -20.283	+12.950	 22.460	 35.824	 35.848	 0.03	  0.071	0.045	  0.16	 0.57																											
PIRATAFR31	3	05-Mar-2021T02:00:00Z	 -20.599	+12.002	 23.800	 35.877	 35.988	 0.05	  3.206	3.160	  0.31	 1.99	0.0069	0.0095	0.0018	0.0020	0.0242	0.0015	0.0025	0.0008	0.0081		0.0030	0.0060	-9999.9999	0.0189	-9999.9999	-9999.9999	0.0118	-9999.9999	-9999.9999	0.0053	-9999.9999	-9999.9999	0.0969	-9999.9999	0.0031	-9999.9999	
PIRATAFR31	4	05-Mar-2021T06:58:00Z	 -20.952	+10.997	 23.354	 35.889	 35.911	 0.02	  0.070	0.048	  0.08	 1.39																											
PIRATAFR31	5	05-Mar-2021T12:15:00Z	 -21.270	 +9.975	 24.860	 35.706	 35.724	 0.02	  0.061	0.039	  0.07	 1.27	0.0090	0.0104	0.0080	0.0085	0.0140	-9999.9999	-9999.9999	0.0017	0.0184		0.0073	-9999.9999	0.0038	0.1182	-9999.9999	0.0060	0.0068	-9999.9999	0.0199	-9999.9999	-9999.9999	0.0887	0.1052	-9999.9999	0.0030	-9999.9999	
PIRATAFR31	6	06-Mar-2021T17:56:00Z	 -17.614	 +6.982	 28.771	 35.179	 35.201	 0.03	  0.071	0.044	  0.03	 1.05																											
PIRATAFR31	7	07-Mar-2021T01:41:00Z	 -16.420	 +5.995	 29.920	 34.840	 34.859	 0.02	  0.061	0.038	  0.02	 1.09	0.0060	0.0061	0.0062	0.0067	0.0072	-9999.9999	-9999.9999	0.0014	0.0122		0.0034	-9999.9999	0.0036	0.0894	-9999.9999	0.0037	0.0056	-9999.9999	-9999.9999	0.0125	-9999.9999	0.0431	0.0728	-9999.9999	-9999.9999	-9999.9999	
PIRATAFR31	8	07-Mar-2021T10:05:00Z	 -15.166	 +4.967	 29.649	 34.590	 34.661	 0.03	  0.121	0.094	  0.04	 1.03																											
PIRATAFR31	9	07-Mar-2021T19:00:00Z	 -13.771	 +4.016	 30.981	 34.347	 34.343	 0.03	  0.084	0.055	  0.04	 1.10	0.0071	0.0082	0.0109	0.0068	0.0108	-9999.9999	-9999.9999	0.0016	0.0152		0.0075	-9999.9999	0.0033	0.1129	-9999.9999	0.0034	0.0040	-9999.9999	-9999.9999	0.0153	-9999.9999	0.0458	0.0944	-9999.9999	0.0027	-9999.9999	
PIRATAFR31	10	08-Mar-2021T04:19:00Z	 -12.253	 +3.004	 29.283	 34.374	 34.403	 0.03	  0.062	0.035	  0.01	 1.03																											
