//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/EGEE2_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:20:24
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>EGEE2_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
EGEE2	1	03-Sep-2005T21:58:00Z	  +1.939	 +4.976			 35.217	 0.04	  0.072	0.107	  0.17	 0.56																											
EGEE2	2	04-Sep-2005T05:54:00Z	  +1.550	 +3.984	 23.236	 34.978	 34.982	 0.00	  0.078	0.078	  0.10	 0.52																											
EGEE2	3	04-Sep-2005T14:27:00Z	  +1.154	 +2.979			 35.251	 0.01	  0.105	0.117	  0.07	 0.54																											
EGEE2	4	04-Sep-2005T21:48:00Z	  +0.778	 +2.004	 25.797	 35.352	 35.374	 0.00	  0.095	0.098	  0.06	 0.50																											
EGEE2	5	05-Sep-2005T05:17:00Z	  +0.378	 +0.977			 35.578	 0.01	  0.095	0.107	  0.08	 0.80																											
EGEE2	6	06-Sep-2005T03:47:00Z	  -1.067	 -1.011			 35.698	 0.02	  0.138	0.156	  0.10	 0.95																											
EGEE2	7	06-Sep-2005T13:54:00Z	  -2.072	 -2.028	 23.300	 35.662	 35.686	 0.11	  1.151	1.258	  0.29	 1.54																											
EGEE2	8	07-Sep-2005T22:47:00Z	  -3.012	 -2.978			 35.792	 0.12	  0.803	0.926	  0.33	 1.62																											
EGEE2	9	07-Sep-2005T08:18:00Z	  -3.998	 -3.973	 23.075	 35.789	 35.787	 0.07	  1.399	1.473	  0.34	 1.71																											
EGEE2	10	07-Sep-2005T17:30:00Z	  -5.120	 -5.031			 35.951	 0.04	  0.038	0.078	  0.34	 2.23																											
EGEE2	11	08-Sep-2005T02:07:00Z	  -6.040	 -6.032	 23.402	 35.992	 36.014	 0.03	  0.380	0.410	  0.30	 1.05																											
EGEE2	12	08-Sep-2005T19:51:00Z	  -7.996	 -7.997	 23.485	 35.927	 35.951	 0.09	  0.446	0.536	  0.28	 1.14																											
EGEE2	13	09-Sep-2005T03:31:00Z	  -8.989	 -8.990			 36.011	 0.10	  0.050	0.146	  0.29	 1.19																											
EGEE2	14	14-Sep-2005T17:45:00Z	  -8.982	 +1.500			 35.715	 0.03	  0.052	0.078	  0.13	 1.16																											
EGEE2	15	15-Sep-2005T13:31:00Z	  -5.970	 +2.000	 25.777	 35.657	 35.684	 0.00	  0.018	0.020	  0.07	 0.79																											
EGEE2	16	15-Sep-2005T19:36:00Z	  -4.969	 +2.000			 35.684	 0.00	  0.125	0.127	  0.08	 0.75																											
EGEE2	17	16-Sep-2005T01:27:00Z	  -3.964	 +2.000	 24.747	 35.676	 35.699	 0.02	  0.059	0.078	  0.12	 0.83																											
EGEE2	18	16-Sep-2005T07:06:00Z	  -2.992	 +2.000			 35.569	 0.00	  0.107	0.107	  0.06	 0.68																											
EGEE2	19	16-Sep-2005T12:57:00Z	  -2.030	 +2.000	 26.313	 35.432	 35.446	 0.00	  0.117	0.117	  0.11	 0.51																											
EGEE2	20	16-Sep-2005T23:33:00Z	  -1.002	 +2.998			 35.253	 0.00	  0.098	0.098	  0.07	 0.16																											
EGEE2	21	17-Sep-2005T07:48:00Z	  -0.004	 +3.995	 25.378	 34.759	 34.784	 0.00	  0.000	0.000	  0.15	 0.22																											
