//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR28_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:14:15
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR28_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR28	1	28-Feb-2018T15:07:00Z	 -24.692	+15.950	 23.100	 35.896	 35.947	 0.01	  0.020	0.010	  0.04	 0.59	0.0061	0.0090	0.0036	0.0081	0.0128	-9999.9999	-9999.9999	-9999.9999	0.0201		0.0070	0.0015	0.0025	0.0527		-9999.9999	0.0075		0.0128	-9999.9999		0.0100	0.1512		0.0047		
PIRATAFR28	2	28-Feb-2018T20:43:00Z	 -24.222	+14.974	 22.900	 35.938		 0.01	  0.029	0.020	  0.02	 0.59																											
PIRATAFR28	3	01-Mar-2018T02:12:00Z	 -23.792	+13.941	 23.400	 35.930	 35.977	 0.01	  0.010	0.000	  0.01	 0.88	0.0046	0.0077	0.0024	0.0081	0.0101	-9999.9999	-9999.9999	-9999.9999	0.0160		0.0034	0.0017	-9999.9999	0.0524		-9999.9999	0.0038		-9999.9999	0.0112		0.0318	0.0992		0.0033		
PIRATAFR28	4	01-Mar-2018T07:25:00Z	 -23.397	+12.972	 22.900	 35.854		 0.01	  0.020	0.010	  0.06	 0.88																											
PIRATAFR28	5	01-Mar-2018T13:00:00Z	 -22.993	+11.977	 24.400	 35.615	 35.678	 0.01	  0.029	0.020	  0.03	 1.29	-9999.9999	-9999.9999	-9999.9999	-9999.9999	-9999.9999	-9999.9999	-9999.9999	-9999.9999	0.0128		0.0057	-9999.9999	0.0023	0.0924		0.0026	0.0038		-9999.9999	0.0159		0.0657	0.1042		-9999.9999		
PIRATAFR28	6	01-Mar-2018T22:51:00Z	 -23.000	+10.978	 23.600	 35.442	 35.519	 0.01	  0.049	0.039	  0.04	 0.50																											
PIRATAFR28	7	02-Mar-2018T04:06:00Z	 -23.000	 +9.968	 24.400	 35.564	 35.637	 0.01	  0.049	0.039	  0.04	 1.15	0.0033	0.0084	0.0022	0.0059	0.0054	-9999.9999	-9999.9999	-9999.9999	0.0149		0.0034	-9999.9999	-9999.9999	0.0839		0.0026	0.0047		0.0161	-9999.9999		0.0520	0.0967		-9999.9999		
PIRATAFR28	8	02-Mar-2018T09:23:00Z	 -23.000	 +8.977	 24.900	 35.617	 35.643	 0.01	  0.029	0.020	  0.05	 1.30																											
PIRATAFR28	9	02-Mar-2018T14:39:00Z	 -23.000	 +7.967	 25.900	 35.484	 35.511	 0.02	  0.049	0.029	  0.06	 0.98	0.0083	0.0170	0.0093	0.0090	0.0141	-9999.9999	-9999.9999	-9999.9999	0.0341		0.0181	0.0017	0.0093	0.0868		0.0021	0.0093		-9999.9999	0.0222		0.0524	0.2521		-9999.9999		
PIRATAFR28	10	02-Mar-2018T19:48:00Z	 -23.000	 +6.974	 27.100	 35.497	 35.526	 0.02	  0.049	0.029	  0.07	 1.18																											
