//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR30_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:01:53
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR30_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR30	1	17-Feb-2020T15:25:00Z	 -24.692	+16.108	 22.960	 35.794	 35.794	 0.02	  0.117	0.098	  0.12	 0.71	0.0247	0.0132	0.0012	0.0335	0.0076	-9999.9999	0.0010	0.0010	0.0347		0.0035	-9999.9999	-9999.9999	0.0114	-9999.9999	-9999.9999	0.0179	0.0179	-9999.9999	0.0119	-9999.9999	0.0343	0.0721	0.1064	-9999.9999		
PIRATAFR30	2	17-Feb-2020T22:47:00Z	 -24.037	+14.980	 22.700	 35.821	 35.821	 0.01	  0.439	0.429	  0.23	 1.17																											
PIRATAFR30	3	18-Feb-2020T04:06:00Z	 -23.671	+14.047	 23.813	 35.732	 35.732	 0.01	  0.966	0.956	  0.46	 2.62	0.0242	0.0233	0.0030	0.0165	0.0615	0.0038	0.0056	0.0026	0.0402		0.0088	0.0014	0.0059	0.0231	0.0021	-9999.9999	0.0308	0.0308	-9999.9999	0.0112	-9999.9999	0.0125	0.2046	0.2171	0.0036		
PIRATAFR30	4	18-Feb-2020T10:05:00Z	 -23.303	+13.002	 24.132	 35.737	 35.737	 0.00	  0.341	0.341	  0.29	 1.35																											
PIRATAFR30	5	18-Feb-2020T15:18:00Z	 -23.005	+12.015	 24.593	 35.709	 35.709	 0.00	  0.088	0.088	  0.11	 0.94	0.0284	0.0314	0.0102	0.0111	0.0755	0.0032	0.0031	0.0037	0.0424		0.0224	0.0023	0.0083	0.0322	0.0029	-9999.9999	0.0240	0.0240	-9999.9999	0.0133	-9999.9999	0.0186	0.2632	0.2818	0.0029		
PIRATAFR30	6	19-Feb-2020T02:58:00Z	 -22.424	+10.996	 24.876	 35.702	 35.702	 0.00	  0.098	0.098	  0.14	 0.92																											
PIRATAFR30	7	20-Feb-2020T16:08:00Z	 -17.952	 +7.008	 29.124	 35.423	 35.423	 0.01	  1.600	1.590	  0.26	 2.81																											
PIRATAFR30	8	20-Feb-2020T23:50:00Z	 -16.958	 +6.009	 30.313	 34.795	 34.795	 0.00	  3.963	3.963	  0.46	 4.55	0.0016	0.0025	0.0012	0.0018	0.0043	-9999.9999	-9999.9999	0.0011	0.0088		0.0029	-9999.9999	0.0010	0.0134	-9999.9999	-9999.9999	-9999.9999	-9999.9999	-9999.9999	0.0032	-9999.9999	0.0046	0.0282	0.0328	0.0018		
PIRATAFR30	9	21-Feb-2020T08:15:00Z	 -15.939	 +4.981	 30.150	 34.600	 34.600	 0.01	  0.371	0.361	  0.12	 1.67																											
PIRATAFR30	10	21-Feb-2020T16:40:00Z	 -14.960	 +3.877	 30.117	 34.469	 34.469	 0.01	  0.146	0.137	  0.09	 1.52	0.0012	0.0030	0.0018	0.0019	0.0094	-9999.9999	-9999.9999	0.0014	0.0064		0.0027	-9999.9999	0.0012	0.0144	-9999.9999	-9999.9999	-9999.9999	-9999.9999	-9999.9999	0.0035	-9999.9999	0.0076	0.0279	0.0355	0.0020		
