//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR22_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:13:34
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR22_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR22	1	21-Mar-2012T17:10:00Z	 -17.633	+13.967	 20.300	 35.690	 35.640	 0.77	  8.486	9.256	  0.85	 3.20	0.1491	0.2638	0.0365	0.0399	0.3599	0.0352	0.0886	0.0223	0.4101		0.0867	0.1559	0.0236	0.0248		-99999.0000	0.2735		-99999.0000	0.0830	-99999.0000	-99999.0000	2.0131		0.0629		
PIRATAFR22	2	22-Mar-2012T05:30:00Z	 -18.450	+11.983	 23.490	 35.590	 35.580	 0.03	  0.185	0.215	  0.26	 1.14	0.0209	0.0312	0.0145	0.0093	0.0450	0.0075	0.0115	0.0030	0.0545		0.0132	0.1505	0.0125	0.1135		-99999.0000	0.0463		-99999.0000	0.0655	0.0355	-99999.0000	0.3870		0.1050		
PIRATAFR22	3	22-Mar-2012T20:05:00Z	 -19.183	+10.000	 24.840	 35.600	 35.591	 0.03	  0.146	0.176	  0.15	 0.60	0.0096	0.0144	0.0089	0.0070	0.0147	-99999.0000	0.0015	0.0020	0.0334		0.0089	0.0302	0.0028	0.1311		-99999.0000	0.0163		-99999.0000	0.0298	0.0029	0.0277	0.1706		0.0452		
PIRATAFR22	4	23-Mar-2012T08:00:00Z	 -19.967	 +7.983	 25.970	 35.760	 35.752	 0.03	  0.137	0.166	  0.12	 0.48	0.0130	0.0199	0.0096	0.0093	0.0193	0.0030	0.0007	0.0017	0.0381		0.0113	-99999.0000	-99999.0000	0.0935		0.0065	0.0121		-99999.0000	0.0292	-99999.0000	0.0605	0.1979		0.0103		
PIRATAFR22	5	23-Mar-2012T20:18:00Z	 -20.717	 +5.983	 27.940	 35.720	 35.702	 0.02	  0.127	0.146	  0.09	 0.86	0.0077	0.0146	0.0106	0.0067	0.0093	-99999.0000	-99999.0000	0.0020	0.0310		0.0124	0.0056	0.0021	0.2102		0.0059	0.0114		-99999.0000	0.0386	0.0010	0.0924	0.1656		0.0087		
PIRATAFR22	6	24-Mar-2012T08:38:00Z	 -21.483	 +4.000	 28.930	 34.640	 34.626	 0.05	  0.137	0.185	  0.01	 0.93	0.0143	0.0239	0.0174	0.0117	0.0168	-99999.0000	-99999.0000	0.0031	0.0474		0.0127	0.0029	0.0014	0.1733		0.0104	0.0143		0.0402	-99999.0000	-99999.0000	0.1268	0.2384		0.0069		
PIRATAFR22	7	24-Mar-2012T21:13:00Z	 -22.247	 +1.983	 28.240	 35.190	 35.155	 0.01	  0.127	0.137	  0.06	 1.07	0.0142	0.0144	0.0034	0.0104	0.0118	-99999.0000	-99999.0000	0.0017	0.0506		0.0198	0.0020	0.0024	0.1392		0.0038	0.0068		-99999.0000	0.0260	-99999.0000	0.0538	0.1437		0.0046		
PIRATAFR22	8	26-Mar-2012T18:00:00Z	 -20.000	 +0.000	 27.810	 35.850	 35.851	 0.03	  0.156	0.185	  0.10	 0.99	0.0084	0.0139	0.0084	0.0094	0.0113	-99999.0000	-99999.0000	0.0015	0.0275		0.0080	-99999.0000	-99999.0000	0.1618		0.0075	0.0078		0.0280	-99999.0000	-99999.0000	0.0890	0.1188		0.0036		
PIRATAFR22	9	27-Mar-2012T06:36:00Z	 -18.000	 +0.000	 27.580	 35.670	 35.668	 0.04	  0.166	0.205	  0.10	 0.75	0.0076	0.0104	0.0042	0.0073	0.0076	-99999.0000	-99999.0000	0.0009	0.0236		0.0062	0.0012	0.0009	0.1085		0.0088	0.0074		0.0237	-99999.0000	-99999.0000	0.0944	0.0899		0.0032		
PIRATAFR22	10	27-Mar-2012T18:30:00Z	 -16.000	 +0.000	 27.590	 35.990	 35.992	 0.01	  0.117	0.127	  0.09	 1.05	0.0048	0.0087	0.0049	0.0061	0.0083	-99999.0000	-99999.0000	0.0012	0.0150		0.0072	0.0009	0.0014	0.1157		0.0043	0.0061		-99999.0000	0.0165	-99999.0000	0.0722	0.0693		0.0026		
PIRATAFR22	11	28-Mar-2012T06:14:00Z	 -14.000	 +0.000	 27.460	 36.030	 36.021	 0.03	  0.146	0.176	  0.13	 0.87	0.0052	0.0111	0.0051	0.0063	0.0107	-99999.0000	-99999.0000	0.0016	0.0167		0.0060	0.0017	0.0014	0.1166		0.0066	0.0066		-99999.0000	0.0216	0.0012	0.0827	0.0826		0.0037		
PIRATAFR22	12	28-Mar-2012T17:31:00Z	 -12.000	 +0.000	 28.340	 35.810	 35.799	 0.03	  0.166	0.195	  0.06	 0.80	0.0046	0.0120	0.0069	0.0060	0.0115	-99999.0000	-99999.0000	0.0021	0.0176		0.0075	0.0017	0.0022	0.1290		0.0044	0.0044		0.0246	-99999.0000	-99999.0000	0.0698	0.1139		0.0040		
PIRATAFR22	13	30-Mar-2012T10:17:00Z	  -8.000	 +0.000	 28.130	 35.340	 35.338	 0.04	  0.146	0.185	  0.07	 0.64	0.0062	0.0107	0.0067	0.0066	0.0078	-99999.0000	-99999.0000	0.0022	0.0180		0.0109	0.0010	0.0050	0.1208		0.0075	0.0072		0.0243	-99999.0000	-99999.0000	0.0930	0.1075		0.0032		
PIRATAFR22	14	01-Apr-2012T18:20:00Z	  -6.000	 +4.617	 29.110	 35.110	 35.106	 0.00	  0.098	0.098	  0.08	 0.94																											
PIRATAFR22	15	06-Apr-2012T13:39:00Z	  -5.983	 +3.983	 29.100	 34.990	 34.956	 0.01	  0.098	0.107	  0.03	 0.90	0.0070	0.0124	0.0075	0.0052	0.0103	-99999.0000	-99999.0000	0.0022	0.0254		0.0167	-99999.0000	0.0028	0.1428		0.0072	0.0267		-99999.0000	0.0267	-99999.0000	0.0919	0.1281		0.0035		
PIRATAFR22	16	07-Apr-2012T15:36:00Z	  -9.217	 +1.983	 29.440	 34.800	 34.962	 0.00	  0.107	0.107	  0.01	 0.63	0.0048	0.0085	0.0052	0.0041	0.0051	-99999.0000	-99999.0000	0.0019	0.0197		0.0113	0.0000	0.0024	0.1203		0.0039	0.0039		-99999.0000	0.0175	-99999.0000	0.0764	0.0704		0.0026		
PIRATAFR22	17	14-Apr-2012T11:08:00Z	  -8.250	 -7.950	 27.440	 36.320	 36.328	 0.00	  0.117	0.117	  0.16	 0.80	0.0050	0.0057	0.0022	0.0037	0.0029	-99999.0000	-99999.0000	0.0005	0.0172		0.0080	0.0006	0.0065	0.0949		0.0052	0.0044		0.0145	-99999.0000	-99999.0000	0.0737	0.0516		0.0017		
PIRATAFR22	18	15-Apr-2012T02:41:00Z	  -6.550	 -5.967	 27.770	 36.132	 36.096	 0.01	  0.098	0.107	  0.13	 0.72	0.0044	0.0083	0.0039	0.0041	0.0052	-99999.0000	-99999.0000	0.0010	0.0174		0.0046	0.0009	0.0816	-99999.0000		0.0040	0.0040		-99999.0000	0.0169	-99999.0000	0.0726	0.0590		0.0032		
PIRATAFR22	19	15-Apr-2012T20:13:00Z	  -4.850	 -4.000	 28.230	 35.360	 35.366	 0.06	  0.117	0.176	  0.06	 0.66	0.0088	0.0143	0.0093	0.0095	0.0073	-99999.0000	-99999.0000	0.0014	0.0305		0.0105	-99999.0000	0.0021	0.1462		0.0060	0.0060		-99999.0000	0.0279	-99999.0000	0.0990	0.1133		0.0033		
PIRATAFR22	20	21-Apr-2012T18:48:00Z	  -3.263	 +3.928	 29.567	 34.714	 34.625	 0.00	  0.137	0.137	  0.04	 0.85	0.0072	0.0081	0.0044	0.0064	0.0082	-99999.0000	-99999.0000	0.0016	0.0255		0.0100	-99999.0000	0.0017	0.1412		0.0056	0.0056		-99999.0000	0.0268	-99999.0000	0.0825	0.1089		0.0031		
