//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR17-EGEE5_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:17:05
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR17-EGEE5_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR17-EGEE5	1	05-Jun-2007T19:59:00Z	  +3.167	 +5.817	 28.850	 34.470	 34.489	 0.04	  0.000	0.045	  0.04	 0.65																											
PIRATAFR17-EGEE5	2	06-Jun-2007T06:06:00Z	  +4.533	 +4.800	 28.790	 34.660	 34.663	 0.06	  0.028	0.088	  0.05	 0.74																											
PIRATAFR17-EGEE5	3	06-Jun-2007T10:47:00Z	  +5.167	 +4.350	 28.910	 34.620	 34.712	 0.06	  0.106	0.166	  0.04	 0.69																											
PIRATAFR17-EGEE5	4	06-Jun-2007T19:17:00Z	  +6.000	 +3.367	 28.340	 33.520	 33.688	 0.06	  0.003	0.059	  0.02	 1.87																											
PIRATAFR17-EGEE5	5	06-Jun-2007T21:41:00Z	  +6.000	 +3.000	 28.540	 34.200	 34.581	 0.05	  0.034	0.088	  0.05	 0.33																											
PIRATAFR17-EGEE5	6	07-Jun-2007T06:00:00Z	  +6.000	 +2.233	 28.430	 33.490	 33.705	 0.08	  0.000	0.077	  0.03	 0.43																											
PIRATAFR17-EGEE5	7	08-Jun-2007T18:13:00Z	  +6.000	 -1.483	 25.780	 35.680	 35.676	 0.07	  0.008	0.078	  0.14	 1.46																											
PIRATAFR17-EGEE5	8	09-Jun-2007T01:08:00Z	  +7.033	 -1.483	 25.460	 35.910	 35.908	 0.09	  0.000	0.086	  0.20	 1.49																											
PIRATAFR17-EGEE5	9	09-Jun-2007T07:28:00Z	  +7.983	 -1.500	 24.800	 36.070	 36.102	 0.04	  0.032	0.068	  0.22	 1.41																											
PIRATAFR17-EGEE5	10	09-Jun-2007T11:00:00Z	  +8.000	 -2.033	 25.340	 35.970	 35.989	 0.03	  0.031	0.059	  0.22	 1.48																											
PIRATAFR17-EGEE5	11	09-Jun-2007T17:12:00Z	  +7.983	 -3.000	 25.780	 35.140	 35.178	 0.04	  0.032	0.068	  0.16	 2.36																											
PIRATAFR17-EGEE5	12	09-Jun-2007T23:33:00Z	  +8.000	 -4.067	 25.430	 35.060	 35.148	 0.06	  0.030	0.088	  0.18	 2.58																											
