//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR14-EGEE1_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:18:19
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR14-EGEE1_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR14-EGEE1	1	08-Jun-2005T19:18:00Z	  +1.933	 +4.967			 34.788	 0.00	  0.000	0.039	  0.00	 1.44																											
PIRATAFR14-EGEE1	2	09-Jun-2005T03:06:00Z	  +1.550	 +3.983	 27.462	 35.031	 35.000	 0.03	  0.000	0.031	  0.03	 0.68																											
PIRATAFR14-EGEE1	3	09-Jun-2005T11:18:00Z	  +1.150	 +2.983			 34.916	 0.01	  0.000	0.048	  0.01	 0.62																											
PIRATAFR14-EGEE1	4	09-Jun-2005T18:45:00Z	  +0.750	 +1.983	 27.979	 34.946	 34.931	 0.04	  0.000	0.024	  0.04	 0.55																											
PIRATAFR14-EGEE1	5	10-Jun-2005T01:45:00Z	  +0.367	 +0.950			 34.876	 0.02	  0.000	0.021	  0.02	 0.65																											
PIRATAFR14-EGEE1	6	10-Jun-2005T14:11:00Z	  +0.033	 +0.000	 25.298	 34.987	 34.978	 0.03	  0.000	0.076	  0.03	 0.65																											
PIRATAFR14-EGEE1	7	11-Jun-2005T02:10:00Z	  -1.067	 -1.017			 35.820	 0.09	  1.123	0.207	  1.18	 1.23																											
PIRATAFR14-EGEE1	8	11-Jun-2005T11:10:00Z	  -2.300	 -2.200	 24.069	 35.880	 35.865	 0.05	  0.727	0.266	  0.76	 1.31																											
PIRATAFR14-EGEE1	9	11-Jun-2005T18:41:00Z	  -3.050	 -3.017			 35.912	 0.05	  0.516	0.230	  0.55	 1.11																											
PIRATAFR14-EGEE1	10	12-Jun-2005T02:50:00Z	  -4.050	 -4.017	 24.806	 35.898	 35.883	 0.03	  0.009	0.909	  0.04	 1.25																											
PIRATAFR14-EGEE1	11	12-Jun-2005T11:19:00Z	  -5.050	 -5.033			 35.754	 0.04	  0.000	0.245	  0.03	 1.24																											
PIRATAFR14-EGEE1	12	12-Jun-2005T19:30:00Z	  -6.000	 -6.000	 25.360	 35.960	 35.941	 0.02	  0.000	0.232	  0.02	 1.21																											
PIRATAFR14-EGEE1	13	13-Jun-2005T03:59:00Z	  -7.017	 -7.017			 35.626	 0.03	  0.000	0.140	  0.02	 1.29																											
PIRATAFR14-EGEE1	14	13-Jun-2005T13:34:00Z	  -8.000	 -8.000	 26.563	 36.185	 36.182	 0.04	  0.000	0.103	  0.04	 0.93																											
PIRATAFR14-EGEE1	15	13-Jun-2005T22:37:00Z	  -9.017	 -9.017			 36.578	 0.04	  0.000	0.126	  0.04	 0.90																											
