//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR19_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:12:39
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR19_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR19	1	14-Jun-2009T22:25:00Z	 -18.067	+12.950	 27.151	 35.852	 35.889			0.000																													
PIRATAFR19	2	15-Jun-2009T04:15:00Z	 -18.650	+12.233	 28.194	 35.984	 36.026			0.000																													
PIRATAFR19	3	15-Jun-2009T11:02:00Z	 -18.867	+10.983	 28.300	 35.908	 35.954			0.000																													
PIRATAFR19	4	15-Jun-2009T16:55:00Z	 -19.383	 +9.983	 28.824	 35.959	 36.021			0.000																													
PIRATAFR19	5	15-Jun-2009T23:26:00Z	 -19.617	 +8.950	 28.000	 35.753	 35.787			0.000																													
PIRATAFR19	6	16-Jun-2009T05:25:00Z	 -19.983	 +7.983	 27.879	 35.926	 35.975			0.000																													
PIRATAFR19	7	16-Jun-2009T11:43:00Z	 -20.600	 +6.983	 28.313	 34.964	 35.026			0.000																													
PIRATAFR19	8	16-Jun-2009T18:47:00Z	 -20.750	 +5.983	 28.078	 35.224	 35.281			0.000																													
PIRATAFR19	9	17-Jun-2009T01:46:00Z	 -21.117	 +5.000	 28.326	 35.221	 35.297			0.000																													
PIRATAFR19	10	17-Jun-2009T08:40:00Z	 -21.500	 +3.983	 28.530	 35.215	 35.290			0.000																													
PIRATAFR19	11	17-Jun-2009T15:23:00Z	 -21.867	 +2.983	 27.705	 35.409	 35.481			0.000																													
PIRATAFR19	12	17-Jun-2009T21:53:00Z	 -22.250	 +2.050	 27.383	 35.396	 35.451			0.000																													
PIRATAFR19	13	18-Jun-2009T04:20:00Z	 -22.617	 +0.983	 26.121	 36.241	 36.299			0.000																													
PIRATAFR19	14	19-Jun-2009T07:54:00Z	 -21.083	 +0.000	 25.635	 36.295	 36.365	 0.02	  0.780	0.799	  0.13	 1.85																											
PIRATAFR19	15	19-Jun-2009T14:06:00Z	 -20.983	 +0.000	 25.830	 36.301	 36.362			0.000																													
PIRATAFR19	16	19-Jun-2009T20:30:00Z	 -20.000	 +0.000	 25.546	 36.285	 36.356	 0.02	  0.877	0.897	  0.13	 1.85																											
PIRATAFR19	17	20-Jun-2009T02:35:00Z	 -18.983	 +0.000	 25.291	 36.261	 36.329	 0.02	  1.072	1.092	  0.16	 1.95																											
PIRATAFR19	18	20-Jun-2009T09:02:00Z	 -18.017	 +0.000	 25.323	 35.969	 36.034	 0.02	  0.780	0.800	  0.13	 1.76																											
PIRATAFR19	19	20-Jun-2009T16:48:00Z	 -17.000	 +0.000	 26.367	 35.386	 35.459	 0.02	  0.683	0.702	  0.08	 1.66																											
PIRATAFR19	20	21-Jun-2009T00:15:00Z	 -16.000	 +0.000	 26.603	 35.181	 35.247	 0.02	  0.781	0.800	  0.07	 1.56																											
PIRATAFR19	21	21-Jun-2009T07:27:00Z	 -14.983	 +0.000	 25.999	 35.319	 35.387	 0.02	  0.683	0.702	  0.08	 1.46																											
PIRATAFR19	22	21-Jun-2009T14:06:00Z	 -13.983	 +0.000	 25.249	 35.524	 35.601	 0.02	  0.683	0.702	  0.13	 1.66																											
PIRATAFR19	23	22-Jun-2009T04:36:00Z	 -11.983	 +0.000	 23.825	 35.858	 35.961	 0.04	  1.365	1.404	  0.20	 1.95																											
PIRATAFR19	24	22-Jun-2009T10:45:00Z	 -11.000	 +0.000	 23.490	 35.888	 35.958	 0.07	  1.950	2.019	  0.25	 2.05																											
PIRATAFR19	25	23-Jun-2009T18:30:00Z	  -8.983	 +0.000	 23.756	 35.409	 35.509	 0.03	  1.268	1.297	  0.15	 1.76																											
PIRATAFR19	26	24-Jun-2009T01:20:00Z	  -8.017	 +0.000	 23.557	 35.254	 35.355	 0.03	  0.878	0.907	  0.14	 1.85																											
PIRATAFR19	27	24-Jun-2009T18:29:00Z	  -5.983	 +0.000	 23.331	 35.392	 35.475	 0.04	  1.073	1.112	  0.18	 2.05																											
PIRATAFR19	28	25-Jun-2009T02:40:00Z	  -4.983	 +0.000	 22.729	 35.577	 35.651	 0.08	  1.756	1.834	  0.23	 2.24																											
PIRATAFR19	29	25-Jun-2009T11:00:00Z	  -4.000	 +0.000	 22.675	 35.711	 35.792	 0.10	  2.536	2.633	  0.29	 2.34																											
PIRATAFR19	30	25-Jun-2009T18:32:00Z	  -3.650	 +0.000	 22.734	 35.763	 35.849	 0.12	  2.633	2.750	  0.31	 2.34																											
PIRATAFR19	31	26-Jun-2009T02:00:00Z	  -1.983	 +0.000	 22.707	 35.764	 35.867	 0.12	  2.536	2.653	  0.35	 2.54																											
PIRATAFR19	32	26-Jun-2009T09:33:00Z	  -0.983	 +0.000	 23.384	 35.713	 35.800	 0.07	  1.560	1.629	  0.23	 2.15																											
PIRATAFR19	33	27-Jun-2009T19:14:00Z	  +0.550	 +1.067	 26.216	 34.225		 0.10	  0.781	0.879	  0.20	 2.15																											
PIRATAFR19	34	02-Jul-2009T11:29:00Z	  +2.300	 +5.983	 28.357	 34.015	 34.086	 0.06	  0.684	0.742	  0.06	 3.71																											
PIRATAFR19	35	02-Jul-2009T18:30:00Z	  +1.917	 +4.967	 27.756	 34.416	 34.449	 0.06	  0.195	0.254	  0.09	 2.83																											
PIRATAFR19	36	03-Jul-2009T00:40:00Z	  +1.533	 +3.983	 27.614	 34.632	 34.697	 0.06	  0.195	0.254	  0.04	 1.37																											
PIRATAFR19	37	03-Jul-2009T08:30:00Z	  +1.117	 +2.933	 27.658	 34.718	 34.767	 0.05	  0.683	0.732	  0.05	 1.46																											
PIRATAFR19	38	03-Jul-2009T14:55:00Z	  +0.750	 +2.000	 27.770	 34.697	 34.751	 0.05	  0.683	0.732	  0.04	 1.07																											
PIRATAFR19	39	03-Jul-2009T21:50:00Z	  -0.350	 +1.000	 27.431	 34.994	 35.035	 0.07	  0.781	0.849	  0.03	 1.17																											
PIRATAFR19	40	05-Jul-2009T04:08:00Z	  -1.117	 -0.983	 24.137	 35.066	 35.099	 0.08	  1.268	1.347	  0.17	 1.85																											
PIRATAFR19	41	05-Jul-2009T11:51:00Z	  -2.017	 -1.983	 23.084	 35.825	 35.870	 0.10	  2.145	2.243	  0.32	 2.05																											
PIRATAFR19	42	05-Jul-2009T20:15:00Z	  -3.050	 -2.983	 23.449	 35.813	 35.859	 0.11	  2.048	2.155	  0.30	 2.05																											
PIRATAFR19	43	06-Jul-2009T04:30:00Z	  -4.050	 -4.017	 24.251	 35.678	 35.719	 0.05	  0.780	0.829	  0.23	 1.56																											
PIRATAFR19	44	06-Jul-2009T12:17:00Z	  -5.017	 -4.983	 26.104	 35.255	 35.293	 0.08	  0.390	0.468	  0.13	 1.27																											
