//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR27_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:14:08
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR27_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR27	1	26-Feb-2017T15:35:00Z	 -24.652	+15.966	 22.157	 36.079	 36.080	 0.02	  0.176	0.160	  0.08	 0.58	0.0493	0.0705	0.0129	0.0314	0.0933	0.0058	0.0122	-9999.9999	0.1015		0.0303	0.0132	0.0102	0.1435		-9999.9999	0.0608		-9999.9999	0.0428		-9999.9999	0.7785		-9999.9999		
PIRATAFR27	2	26-Feb-2017T21:12:00Z	 -24.238	+14.974	 22.620	 36.066	 36.064	 0.03	  0.605	0.572	  0.26	 1.02																											
PIRATAFR27	3	27-Feb-2017T02:47:00Z	 -23.794	+13.986	 22.764	 35.972	 35.978	 0.01	  0.010	0.000	  0.11	 0.45	0.0242	0.0293	0.0059	0.0256	0.0283	0.0031	0.0038	0.0020	0.0603		0.0120	0.0024	0.0013	0.0853		-9999.9999	0.0206		-9999.9999	0.0257		0.0496	0.2848		-9999.9999		
PIRATAFR27	4	27-Feb-2017T08:08:00Z	 -23.397	+12.967	 22.977	 35.924	 35.938	 0.01	  0.098	0.085	  0.12	 0.50																											
PIRATAFR27	5	27-Feb-2017T13:37:00Z	 -23.000	+11.983	 23.924	 35.881	 35.882	 0.00	  0.039	0.036	  0.05	 0.83	0.0137	0.0181	0.0046	0.0141	0.0171	-9999.9999	-9999.9999	-9999.9999	0.0315		0.0094	-9999.9999	0.0064	0.0957		0.0081	0.0188		-9999.9999	0.0236		0.0765	0.1825		-9999.9999		
PIRATAFR27	6	27-Feb-2017T22:42:00Z	 -22.999	+10.933	 23.688	 35.894	 35.895	 0.01	  0.156	0.145	  0.11	 0.82																											
PIRATAFR27	7	28-Feb-2017T03:32:00Z	 -23.000	 +9.967	 24.729	 35.974	 35.982	 0.00	  0.049	0.046	  0.05	 0.92	0.0101	0.0161	0.0057	0.0100	0.0131	-9999.9999	-9999.9999	-9999.9999	0.0269		0.0068	-9999.9999	-9999.9999	0.0822		0.0070	0.0160		-9999.9999	0.0197		0.0690	0.1298		-9999.9999		
PIRATAFR27	8	28-Feb-2017T08:30:00Z	 -23.000	 +8.983	 26.584	 35.966	 35.974	 0.01	  0.205	0.193	  0.08	 0.90																											
PIRATAFR27	9	28-Feb-2017T13:43:00Z	 -22.983	 +7.983	 27.432	 36.039	 36.041	 0.00	  0.137	0.134	  0.07	 0.78	0.0067	0.0128	0.0069	0.0065	0.0095	-9999.9999	-9999.9999	-9999.9999	0.0190		0.0101	-9999.9999	0.0063	0.1338		0.0070	0.0113		-9999.9999	0.0368		0.0967	0.1714		-9999.9999		
PIRATAFR27	10	28-Feb-2017T18:54:00Z	 -23.000	 +6.983	 27.720	 35.990	 36.002	 0.01	  0.517	0.509	  0.17	 1.19																											
