//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR20_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:12:48
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR20_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR20	1	15-Sep-2010T23:00:00Z	  +2.300	 +6.000	 26.990	 34.010	 34.097	 0.00	  0.068	0.068	  0.69	 2.04																											
PIRATAFR20	2	16-Sep-2010T06:50:00Z	  +1.900	 +5.000	 26.780	 34.290	 33.917	 0.04	  2.324	2.363	  1.14	 2.53																											
PIRATAFR20	3	16-Sep-2010T14:08:00Z	  +1.533	 +4.000	 26.670	 34.630	 34.689	 0.00	  0.049	0.049	  0.59	 0.47																											
PIRATAFR20	4	16-Sep-2010T21:22:00Z	  +2.500	 +3.000	 27.010	 35.210	 34.836	 0.03	  5.065	5.094	  1.18	 2.64																											
PIRATAFR20	5	17-Sep-2010T05:02:00Z	  +0.750	 +2.000	 26.610	 35.170	 35.233	 0.00	  0.049	0.049	  0.61	 0.71																											
PIRATAFR20	6	17-Sep-2010T12:30:00Z	  +0.383	 +1.000	 26.340	 35.280	 35.343	 0.00	  0.078	0.078	  0.57	 0.68																											
PIRATAFR20	7	18-Sep-2010T21:20:00Z	  +0.000	 +0.000	 26.820	 35.450	 35.501	 0.00	  0.020	0.020	  0.60	 0.78																											
PIRATAFR20	8	18-Sep-2010T14:32:00Z	  -1.000	 -1.000	 24.800	 35.530	 35.589	 0.00	  0.000	0.000	  0.75	 1.18																											
PIRATAFR20	9	19-Sep-2010T00:51:00Z	  -1.950	 -2.000	 24.150	 35.730	 35.787	 0.00	  0.098	0.098	  0.75	 1.37																											
PIRATAFR20	10	19-Sep-2010T11:45:00Z	  -2.933	 -3.000	 24.260	 35.730	 35.794	 0.00	  0.000	0.000	  0.74	 1.11																											
PIRATAFR20	11	19-Sep-2010T21:24:00Z	  -3.917	 -4.000	 24.250	 35.740	 35.807	 0.00	  0.000	0.000	  0.77	 1.02																											
PIRATAFR20	12	20-Sep-2010T05:52:00Z	  -4.933	 -5.000	 24.270	 35.750	 35.830	 0.00	  0.000	0.000	  0.73	 0.97																											
PIRATAFR20	13	20-Sep-2010T15:29:00Z	  -5.950	 -6.000	 26.630	 35.820	 35.900	 0.02	  0.000	0.020	  0.76	 1.08																											
PIRATAFR20	14	21-Sep-2010T00:45:00Z	  -6.933	 -7.000	 23.640	 35.930	 36.005	 0.06	  0.302	0.361	  0.78	 1.06																											
PIRATAFR20	15	21-Sep-2010T10:20:00Z	  -7.950	 -8.000	 23.840	 35.890	 35.971	 0.04	  0.039	0.078	  0.75	 1.33																											
PIRATAFR20	16	21-Sep-2010T19:39:00Z	  -8.950	 -9.000	 23.830	 36.180	 36.253	 0.00	  0.000	0.000	  0.70	 0.96																											
PIRATAFR20	17	22-Sep-2010T20:22:00Z	 -10.000	 -9.750	 23.880	 36.350	 36.378	 0.00	  0.000	0.000	  0.66	 0.59																											
PIRATAFR20	18	26-Sep-2010T14:46:00Z	 -10.000	 -3.433	 24.390	 35.810	 35.875			0.000																													
PIRATAFR20	19	28-Sep-2010T21:50:00Z	  -9.000	 +1.900	 26.840	 35.430	 35.479	 0.00	  0.000	0.000	  0.58	 0.40																											
PIRATAFR20	20	29-Sep-2010T10:50:00Z	  -6.983	 +2.667	 27.120	 35.270	 35.339	 0.00	  0.000	0.000	  0.57	 0.44																											
PIRATAFR20	21	29-Sep-2010T22:55:00Z	  -5.000	 +3.417	 27.170	 35.000	 35.091	 0.00	  0.000	0.000	  0.57	 0.44																											
PIRATAFR20	22	30-Sep-2010T10:50:00Z	  -3.000	 +3.383	 26.790	 33.280	 33.238	 0.00	  0.000	0.000	  0.59	 0.84																											
PIRATAFR20	23	30-Sep-2010T13:10:00Z	  -1.000	 +4.367	 26.740	 33.270	 33.337	 0.00	  0.039	0.039	  0.63	 0.75																											
PIRATAFR20	24	01-Oct-2010T16:20:00Z	  +1.000	 +5.467	 27.200	 34.620	 34.173	 0.00	  0.039	0.039	  0.63	 1.24																											
PIRATAFR20	25	07-Oct-2010T12:10:00Z	  -0.017	 +0.033	 26.870	 35.390	 35.432	 0.00	  0.010	0.010	  0.58	 0.35																											
PIRATAFR20	26	08-Oct-2010T01:51:00Z	  -2.000	 +0.000	 26.950	 35.340	 35.413	 0.00	  0.029	0.029	  0.56	 0.42																											
PIRATAFR20	27	08-Oct-2010T15:03:00Z	  -4.000	 +0.000	 26.800	 35.580	 35.628	 0.00	  0.049	0.049	  0.36	 0.50																											
PIRATAFR20	28	09-Oct-2010T03:57:00Z	  -6.017	 +0.000	 26.440	 35.520	 35.628	 0.00	  0.020	0.020	  0.36	 0.54																											
PIRATAFR20	29	12-Oct-2010T12:39:00Z	 -12.000	 +0.000	 25.900	 35.770	 35.834	 0.02	  0.088	0.107	  0.39	 0.63																											
PIRATAFR20	30	13-Oct-2010T04:25:00Z	 -14.017	 +0.000	 26.430	 35.650	 35.758	 0.00	  0.020	0.020	  0.33	 0.48																											
PIRATAFR20	31	13-Oct-2010T18:34:00Z	 -15.967	 +0.000	 26.840	 35.660	 35.737	 0.00	  0.049	0.049	  0.34	 0.55																											
PIRATAFR20	32	14-Oct-2010T23:20:00Z	 -20.000	 +0.000	 26.240	 35.920	 36.033	 0.00	  0.117	0.117	  0.36	 0.62																											
PIRATAFR20	33	15-Oct-2010T13:27:00Z	 -22.000	 +0.000	 26.760	 35.830	 35.894	 0.00	  0.029	0.029	  0.34	 0.56																											
PIRATAFR20	34	16-Oct-2010T22:44:00Z	 -22.617	 +0.983	 27.130	 35.700	 35.772	 0.00	  0.049	0.049	  0.32	 0.50																											
PIRATAFR20	35	17-Oct-2010T05:50:00Z	 -22.250	 +2.000	 27.820	 35.230	 35.315	 0.00	  0.078	0.078	  0.28	 0.48																											
PIRATAFR20	36	17-Oct-2010T12:52:00Z	 -21.867	 +3.000	 28.480	 34.700	 34.761	 0.00	  0.059	0.059	  0.25	 0.43																											
PIRATAFR20	37	17-Oct-2010T19:33:00Z	 -21.983	 +4.000	 28.830	 34.230	 34.308	 0.00	  0.088	0.088	  0.29	 0.57																											
PIRATAFR20	38	18-Oct-2010T02:38:00Z	 -21.117	 +5.000	 28.940	 34.500	 34.588	 0.00	  0.146	0.146	  0.32	 0.54																											
