//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR21_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:13:27
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR21_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR21	1	03-May-2011T19:01:00Z	  +2.000	 +5.067	 29.330	 34.822	 34.861	 0.00	  0.000	0.000	  0.00	 1.46	0.0054	0.0105	0.0076	0.0055	0.0189	-99999.0000	-99999.0000	-99999.0000	0.0238		0.0128	-99999.0000	0.0017	0.1137		-99999.0000	0.0083		-99999.0000	0.0005		0.0717	0.1475		-99999.0000	-99999.0000	
PIRATAFR21	2	04-May-2011T02:48:00Z	  +1.000	 +5.350	 29.310	 34.555	 34.585	 0.00	  0.000	0.000	  0.00	 0.88	0.0028	0.0050	0.0038	0.0024	0.0061	-99999.0000	-99999.0000	-99999.0000	0.0138		0.0059	-99999.0000	0.0007	0.0726		-99999.0000	0.0048		-99999.0000	-99999.0000		0.0692	0.0677		-99999.0000	-99999.0000	
PIRATAFR21	3	04-May-2011T10:10:00Z	  +0.000	 +5.000	 29.430	 34.523	 34.531	 0.00	  0.000	0.000	  0.00	 0.68	0.0075	0.0117	0.0070	0.0068	0.0057	-99999.0000	-99999.0000	-99999.0000	0.0319		0.0070	-99999.0000	-99999.0000	0.0474		-99999.0000	0.0087		-99999.0000	0.0144		0.0703	0.1127		-99999.0000	-99999.0000	
PIRATAFR21	4	04-May-2011T18:50:00Z	  -1.000	 +4.000	 29.440	 34.381	 34.390	 0.00	  0.000	0.000	  0.00	 0.59	0.0087	0.0132	0.0084	0.0084	0.0068	-99999.0000	-99999.0000	-99999.0000	0.0366		0.0073	-99999.0000	0.0009	0.1068		-99999.0000	0.0117		-99999.0000	-99999.0000		0.1629	0.1398		0.0025	-99999.0000	
PIRATAFR21	5	05-May-2011T03:32:00Z	  -2.000	 +3.300	 29.420	 34.548	 34.572	 0.00	  0.000	0.000	  0.00	 0.59	0.0070	0.0117	0.0086	0.0073	0.0062	-99999.0000	-99999.0000	-99999.0000	0.0271		0.0056	-99999.0000	-99999.0000	0.0846		-99999.0000	0.0098		-99999.0000	-99999.0000		0.1694	0.0997		-99999.0000	-99999.0000	
PIRATAFR21	6	05-May-2011T21:38:00Z	  -4.000	 +1.500	 28.960	 34.034	 34.042	 0.00	  0.000	0.000	  0.00	 0.59	0.0026	0.0061	0.0049	0.0036	0.0054	-99999.0000	-99999.0000	-99999.0000	0.0136		0.0059	-99999.0000	0.0014	0.0954		-99999.0000	0.0047		-99999.0000	-99999.0000		0.0947	0.0613		-99999.0000	-99999.0000	
PIRATAFR21	7	06-May-2011T02:52:00Z	  -5.000	 +1.500	 29.410	 34.178	 34.183	 0.00	  0.000	0.000	  0.00	 0.68	0.0028	0.0051	0.0047	0.0038	0.0041	-99999.0000	-99999.0000	-99999.0000	0.0151		0.0056	-99999.0000	-99999.0000	0.0910		-99999.0000	0.0052		-99999.0000	-99999.0000		0.0814	0.0532		-99999.0000	-99999.0000	
PIRATAFR21	8	06-May-2011T08:04:00Z	  -6.000	 +1.500	 29.420	 34.193	 34.200	 0.00	  0.000	0.000	  0.00	 0.59	0.0035	0.0083	0.0043	0.0052	0.0048	-99999.0000	-99999.0000	-99999.0000	0.0196		0.0070	-99999.0000	-99999.0000	0.0872		-99999.0000	0.0064		-99999.0000	-99999.0000		0.1162	0.0732		-99999.0000	-99999.0000	
PIRATAFR21	9	06-May-2011T13:12:00Z	  -7.000	 +1.500	 29.520	 34.197	 34.206	 0.00	  0.000	0.000	  0.00	 0.68	0.0023	0.0049	0.0023	0.0039	0.0037	-99999.0000	-99999.0000	-99999.0000	0.0140		0.0083	-99999.0000	0.0059	0.0827		-99999.0000	0.0044		-99999.0000	-99999.0000		0.0799	0.0562		-99999.0000	-99999.0000	
PIRATAFR21	10	06-May-2011T18:24:00Z	  -8.000	 +1.500	 29.330	 34.170	 34.176	 0.00	  0.000	0.000	  0.00	 0.68	0.0029	0.0065	0.0030	0.0058	0.0056	-99999.0000	-99999.0000	-99999.0000	0.0161		0.0068	-99999.0000	0.0014	0.1058		-99999.0000	0.0056		-99999.0000	-99999.0000		0.0938	0.0625		-99999.0000	-99999.0000	
