//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR29_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:02:02
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR29_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR29	1	01-Mar-2019T15:10:00Z	 -24.803	+16.183	 22.166	 36.324	 36.327	 0.01	  0.448	0.439	  0.24	 1.41	0.0189	0.0264	0.0056	0.0273	0.0300	0.0030	0.0036	0.0025	0.0629		0.0173	0.0053	0.0080	0.0978		0.0026	0.0237	0.0263	-9999.9999	0.0241	-9999.9999	0.0568	0.2590	0.3203	0.0045		
PIRATAFR29	2	01-Mar-2019T23:50:00Z	 -24.267	+15.087	 22.005	 36.319	 36.323	 0.03	  0.341	0.312	  0.21	 1.32																											
PIRATAFR29	3	02-Mar-2019T05:50:00Z	 -23.888	+14.032	 22.889	 36.043	 36.074	 0.00	  0.166	0.166	  0.19	 1.01	0.0099	0.0109	0.0058	0.0112	0.0143	0.0014	0.0019	0.0018	0.0270		0.0067	0.0019	0.0025	0.1191		0.0024	0.0146	0.0169	0.0215	-9999.9999	-9999.9999	0.0754	0.1214	0.2005	0.0038		
PIRATAFR29	4	02-Mar-2019T11:43:00Z	 -23.518	+13.030	 23.779	 35.839	 35.912	 0.01	  0.390	0.380	  0.44	 1.92																											
PIRATAFR29	5	02-Mar-2019T21:15:00Z	 -23.171	+11.998	 24.044	 35.959	 35.958	 0.00	  0.146	0.146	  0.13	 1.36	0.0301	0.0384	0.0183	0.0436	0.0422	0.0051	0.0055	0.0038	0.1166		0.0200	0.0031	0.0024	0.1289		0.0053	0.0379	0.0432	0.0379	-9999.9999	-9999.9999	0.1177	0.3611	0.4836	0.0048		
PIRATAFR29	6	03-Mar-2019T04:22:00Z	 -22.407	+10.973	 24.094	 35.845	 35.876	 0.01	  0.078	0.068	  0.15	 1.29																											
PIRATAFR29	7	03-Mar-2019T11:36:00Z	 -21.366	+10.075	 24.857	 35.989	 35.993	 0.01	  0.078	0.068	  0.19	 1.20	0.0257	0.0306	0.0119	0.0240	0.0584	0.0027	0.0021	0.0026	0.0677		0.0287	0.0011	0.0075	0.1248		0.0053	0.0233	0.0287	0.0304	-9999.9999	-9999.9999	0.1052	0.2904	0.4000	0.0043		
PIRATAFR29	8	04-Mar-2019T06:03:00Z	 -19.006	 +7.987	 26.654	 35.857	 35.860	 0.02	  0.166	0.146	  0.16	 1.50	0.0064	0.0092	0.0077	0.0068	0.0099	-9999.9999	-9999.9999	0.0017	0.0248		0.0057	-9999.9999	-9999.9999	0.0989		0.0048	0.0093	0.0141	0.0172	-9999.9999	-9999.9999	0.0771	0.0860	0.1662	0.0031		
PIRATAFR29	9	04-Mar-2019T13:18:00Z	 -17.925	 +7.026	 28.274	 35.769	 35.770	 0.00	  0.107	0.107	  0.11	 1.21																											
PIRATAFR29	10	04-Mar-2019T20:57:00Z	 -16.722	 +5.997	 28.463	 35.612	 35.625	 0.00	  0.078	0.078	  0.08	 0.98	0.0039	0.0065	0.0047	0.0044	0.0144	-9999.9999	-9999.9999	0.0015	0.0178		0.0070	-9999.9999	-9999.9999	0.1016		0.0038	0.0046	0.0084	0.0137	-9999.9999	-9999.9999	0.0505	0.0725	0.1255	0.0025		
PIRATAFR29	11	05-Mar-2019T04:08:00Z	 -15.651	 +5.016	 29.471	 35.566	 35.672	 0.02	  1.336	1.317	  0.40	 2.12																											
PIRATAFR29	12	05-Mar-2019T12:31:00Z	 -14.489	 +3.986	 30.350	 34.833	 34.884	 0.01	  0.059	0.049	  0.10	 0.70	0.0065	0.0139	0.0085	0.0054	0.0260	-9999.9999	-9999.9999	0.0036	0.0374		0.0243	-9999.9999	0.0094	0.1765		-9999.9999	0.0053	0.0053	-9999.9999	0.0327	-9999.9999	0.0230	0.2398	0.2655	0.0027		
PIRATAFR29	13	05-Mar-2019T20:08:00Z	 -13.372	 +2.988	 30.373	 34.840	 34.932	 0.01	  0.039	0.029	  0.09	 0.90																											
PIRATAFR29	14	06-Mar-2019T03:58:00Z	 -12.268	 +2.012	 30.037	 34.806	 34.814	 0.01	  0.429	0.420	  0.11	 1.15	-9999.9999	0.0004	0.0010	0.0011	0.0021	-9999.9999	-9999.9999	-9999.9999	0.0020		0.0013	-9999.9999	-9999.9999	0.0687		-9999.9999	-9999.9999	-9999.9999	-9999.9999	0.0087	-9999.9999	0.0158	0.0226	0.0407	0.0023		
PIRATAFR29	15	06-Mar-2019T12:23:00Z	 -11.113	 +0.991	 30.031	 34.971	 34.937	 0.01	  0.263	0.254	  0.11	 1.11																											
PIRATAFR29	16	08-Mar-2019T00:01:00Z	  -9.019	 +0.003	 29.286	 34.364	 34.341	 0.01	  0.566	0.556	  0.09	 1.09																											
PIRATAFR29	17	08-Mar-2019T05:50:00Z	  -7.970	 -0.001	 29.744	 34.825	 34.563	 0.03	  1.806	1.777	  0.34	 2.37	0.0010	0.0018	-9999.9999	0.0028	0.0030	-9999.9999	-9999.9999	-9999.9999	0.0058		0.0021	-9999.9999	-9999.9999	0.0945		0.0051	0.0042	0.0093	0.0134	-9999.9999	-9999.9999	0.0440	0.0281	0.0720	-9999.9999		
